fotmob_id,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,code,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,25_cost,opta_id,shots_on_target,fouls_won,clearances,tackles_won,interceptions,blocks,recoveries,tackles,tackles_lost,saves_inside_box,saves_outside_box,penalties_scored,games,abs_cleans_change,abs_goals_scored_change,abs_goals_conceded_change,abs_def_contribution_change,bps_cleans_change,bps_goals_scored_change,bps_goals_conceded_change,bps_fouls_won_change,bps_shot_on_target_change,bps_saves_change,bps_penalties_scored_change,new_bps,new_bonus,new_total_points
865931,Max Kilman,DEF,West Ham,2.2,0,0,-8,0,1.0,524,0.01,0.01,0.0,3.6,129,5,0,1.4,12.6,2024-11-30T17:30:00Z,90,False,1,0,0,0,0,13,0,212037,1,5,2,0.0,0,-4470,2681,7151,45,True,0,214048.0,Max,Kilman,563.0,524.0,605.0,DEF,DEF,DEF,4.5,214048,0,1,3,1,2,1,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-8,0,0
267371,Emerson Palmieri dos Santos,DEF,West Ham,4.2,0,0,1,0,1.0,520,0.0,0.13,0.13,3.38,129,5,1,5.9,44.2,2024-11-30T17:30:00Z,64,False,1,0,0,0,0,13,0,60481,1,5,2,14.0,5,2941,4614,1673,44,True,1,109533.0,Emerson,Palmieri dos Santos,532.0,520.0,604.0,DEF,DEF,DEF,4.5,109533,2,0,0,2,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5
941213,Crysencio Summerville,MID,West Ham,0.8,0,0,-1,0,0.3,587,0.0,0.0,0.0,3.27,129,5,0,0.8,8.0,2024-11-30T17:30:00Z,45,False,1,0,0,0,0,13,0,50577,1,5,2,0.0,0,-1778,1316,3094,57,True,1,450070.0,Crysencio,Summerville,0.0,587.0,615.0,0,MID,MID,5.5,450070,0,0,0,2,0,1,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
524437,Tomáš Souček,MID,West Ham,2.5,0,0,8,0,1.4,530,0.01,0.09,0.08,3.6,129,5,0,5.2,15.2,2024-11-30T17:30:00Z,90,False,1,0,0,0,0,13,0,218107,1,5,2,35.0,1,-1898,10941,12839,49,True,1,215439.0,Tomáš,Souček,542.0,530.0,613.0,MID,MID,MID,6.0,215439,1,1,3,1,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,1
214426,Danny Ings,FWD,West Ham,-0.2,0,0,0,0,0.4,523,0.0,0.57,0.57,0.22,129,0,0,3.0,3.0,2024-11-30T17:30:00Z,25,False,1,0,0,0,0,13,0,194742,0,5,2,27.0,1,-11481,4237,15718,50,True,0,84939.0,Danny,Ings,535.0,523.0,0.0,FWD,FWD,FWD,0.0,84939,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
749736,Kai Havertz,FWD,Arsenal,3.0,0,0,28,0,4.7,4,0.01,0.67,0.66,1.54,129,2,1,6.0,31.4,2024-11-30T17:30:00Z,90,False,19,0,0,0,0,13,0,1106101,1,5,2,24.0,6,-103897,20558,124455,79,False,0,219847.0,Kai,Havertz,6.0,4.0,30.0,MID,FWD,FWD,7.5,219847,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,6
523825,Jarrod Bowen,MID,West Ham,2.5,0,0,6,0,1.0,514,0.01,0.07,0.06,3.6,129,5,0,0.5,0.8,2024-11-30T17:30:00Z,90,False,1,0,0,0,0,13,0,621953,1,5,2,3.0,2,-32304,17715,50019,74,True,0,178186.0,Jarrod,Bowen,526.0,514.0,624.0,MID,MID,FWD,8.0,178186,0,3,1,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,2
318615,Leandro Trossard,MID,Arsenal,5.5,1,2,40,0,29.3,23,0.23,0.92,0.69,1.06,129,2,1,12.4,55.8,2024-11-30T17:30:00Z,84,False,19,0,0,0,0,13,0,183430,1,5,2,39.0,12,-9145,3336,12481,68,False,0,116216.0,Leandro,Trossard,26.0,23.0,20.0,MID,MID,MID,7.0,116216,1,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,2,12
586768,Guido Rodríguez,MID,West Ham,0.2,0,0,5,0,14.5,588,0.01,0.07,0.06,0.22,129,0,0,2.5,5.2,2024-11-30T17:30:00Z,13,False,1,0,0,0,0,13,0,7940,0,5,2,5.0,1,-205,89,294,49,True,0,197024.0,Guido,Rodríguez,0.0,588.0,618.0,0,MID,MID,5.0,197024,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1
760320,Aaron Wan-Bissaka,DEF,West Ham,6.0,0,0,10,0,2.3,388,0.02,0.47,0.45,3.6,129,5,1,7.3,47.6,2024-11-30T17:30:00Z,90,False,1,0,0,0,0,13,0,224973,1,5,2,23.0,6,47179,52508,5329,44,True,0,214590.0,Aaron,Wan-Bissaka,401.0,388.0,610.0,DEF,DEF,DEF,4.5,214590,1,0,2,4,1,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,6
955406,William Saliba,DEF,Arsenal,4.0,0,0,6,0,1.0,18,0.01,0.01,0.0,1.54,129,2,0,2.0,18.6,2024-11-30T17:30:00Z,90,False,19,0,0,0,0,13,0,2495567,1,5,2,0.0,1,83815,112154,28339,60,False,0,462424.0,William,Saliba,20.0,18.0,6.0,DEF,DEF,DEF,6.0,462424,0,0,4,1,1,1,7,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1
534670,Martin Ødegaard,MID,Arsenal,6.2,0,1,38,0,23.8,13,0.33,1.15,0.82,0.8,129,2,1,9.4,45.8,2024-11-30T17:30:00Z,73,False,19,0,0,0,0,13,0,516517,1,5,2,24.0,8,69499,82536,13037,82,False,0,184029.0,Martin,Ødegaard,14.0,13.0,17.0,MID,MID,MID,8.0,184029,2,1,0,1,0,0,4,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-6,32,1,8
