fotmob_id,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,code,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,25_cost,opta_id,shots_on_target,fouls_won,clearances,tackles_won,interceptions,blocks,recoveries,tackles,tackles_lost,saves_inside_box,saves_outside_box,penalties_scored,games,abs_cleans_change,abs_goals_scored_change,abs_goals_conceded_change,abs_def_contribution_change,bps_cleans_change,bps_goals_scored_change,bps_goals_conceded_change,bps_fouls_won_change,bps_shot_on_target_change,bps_saves_change,bps_penalties_scored_change,new_bps,new_bonus,new_total_points
1174337,Sávio 'Savinho' Moreira de Oliveira,MID,Man City,3.5,0,0,8,0,15.1,571,0.17,0.17,0.0,0.0,58,0,0,2.9,7.4,2024-09-28T11:30:00Z,9,False,15,0,0,0,0,6,0,213854,0,1,1,6.0,1,75361,103024,27663,65,False,0,510281.0,Sávio 'Savinho',Moreira de Oliveira,0.0,571.0,415.0,0,MID,MID,7.0,510281,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,1
1070712,Joško Gvardiol,DEF,Man City,4.2,0,1,28,0,17.7,350,0.02,0.1,0.08,1.57,58,1,1,9.2,49.0,2024-09-28T11:30:00Z,90,False,15,0,0,0,0,6,0,2205744,1,1,1,25.0,9,-320020,68614,388634,59,False,0,477424.0,Joško,Gvardiol,616.0,350.0,403.0,DEF,DEF,DEF,6.0,477424,1,3,2,2,2,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,2,10
521148,Jacob Murphy,MID,Newcastle,2.3,0,0,10,0,25.0,402,0.07,0.07,0.0,0.91,58,1,0,3.8,9.0,2024-09-28T11:30:00Z,90,False,13,0,0,0,0,6,0,56277,1,1,1,4.0,2,-17377,1843,19220,52,True,0,114243.0,Jacob,Murphy,423.0,402.0,489.0,MID,MID,MID,6.5,114243,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,2
820024,Sean Longstaff,MID,Newcastle,0.3,0,0,4,0,0.0,410,0.0,0.21,0.21,0.24,58,0,0,0.5,1.2,2024-09-28T11:30:00Z,12,False,13,0,0,0,0,6,0,67368,0,1,1,4.0,1,-13122,2019,15141,48,True,0,180135.0,Sean,Longstaff,421.0,410.0,493.0,MID,MID,MID,5.0,180135,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1
239219,Mateo Kovačić,MID,Man City,2.8,0,0,8,0,24.2,354,0.09,0.14,0.05,1.57,58,1,0,4.1,12.0,2024-09-28T11:30:00Z,90,False,15,0,0,0,0,6,0,166425,1,1,1,5.0,1,13902,31840,17938,55,False,1,91651.0,Mateo,Kovačić,356.0,354.0,422.0,MID,MID,MID,6.0,91651,0,0,2,2,0,0,5,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,1
815006,Phil Foden,MID,Man City,1.2,0,0,9,0,17.3,348,0.12,0.18,0.06,0.21,58,0,0,4.7,8.2,2024-09-28T11:30:00Z,24,False,15,0,0,0,0,6,0,538581,0,1,1,21.0,1,-39113,30379,69492,93,False,0,209244.0,Phil,Foden,353.0,348.0,414.0,MID,MID,MID,8.0,209244,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,1
189982,Fabian Schär,DEF,Newcastle,2.0,0,0,3,0,0.9,415,0.04,0.12,0.08,0.91,58,1,0,2.1,14.4,2024-09-28T11:30:00Z,90,False,13,0,0,0,0,6,0,108569,1,1,1,6.0,1,-12231,4965,17196,54,True,1,119471.0,Fabian,Schär,427.0,415.0,474.0,DEF,DEF,DEF,5.5,119471,0,0,3,0,1,1,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1
159833,Kyle Walker,DEF,Man City,2.2,0,0,13,0,5.1,363,0.03,0.03,0.0,1.57,58,1,0,2.6,20.8,2024-09-28T11:30:00Z,90,False,15,0,0,0,0,6,0,521053,1,1,1,0.0,2,-19043,19637,38680,53,False,0,58621.0,Kyle,Walker,369.0,363.0,187.0,DEF,DEF,DEF,4.5,58621,0,1,2,1,1,2,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,2
614006,Rúben Gato Alves Dias,DEF,Man City,1.2,0,0,6,0,4.8,361,0.04,0.04,0.0,1.57,58,1,0,1.9,12.6,2024-09-28T11:30:00Z,90,False,15,0,0,0,0,6,0,417456,1,1,1,2.0,1,-30207,12550,42757,55,False,1,171314.0,Rúben,Gato Alves Dias,350.0,361.0,408.0,DEF,DEF,DEF,5.5,171314,0,0,3,1,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1
737066,Erling Haaland,FWD,Man City,8.5,0,0,12,0,12.3,351,0.1,0.55,0.45,1.57,58,1,0,8.4,14.8,2024-09-28T11:30:00Z,90,False,15,0,0,0,0,6,0,7583749,1,1,1,57.0,2,258724,286015,27291,153,False,0,223094.0,Erling,Haaland,355.0,351.0,430.0,FWD,FWD,FWD,14.0,223094,2,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,2
