fotmob_id,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,code,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,25_cost,opta_id,shots_on_target,fouls_won,clearances,tackles_won,interceptions,blocks,recoveries,tackles,tackles_lost,saves_inside_box,saves_outside_box,penalties_scored,games,abs_cleans_change,abs_goals_scored_change,abs_goals_conceded_change,abs_def_contribution_change,bps_cleans_change,bps_goals_scored_change,bps_goals_conceded_change,bps_fouls_won_change,bps_shot_on_target_change,bps_saves_change,bps_penalties_scored_change,new_bps,new_bonus,new_total_points
690107,Alexander Isak,FWD,Newcastle,9.5,0,2,30,0,16.8,401,0.02,1.43,1.41,0.77,199,1,1,9.7,37.4,2025-01-04T12:30:00Z,85,False,18,0,0,0,0,20,0,5783281,1,2,1,43.0,7,563936,604389,40453,92,False,1,219168.0,Alexander,Isak,415.0,401.0,499.0,FWD,FWD,FWD,10.5,219168.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,30.0,2,7
724306,Yves Bissouma,MID,Spurs,1.7,0,0,15,0,2.2,482,0.01,0.01,0.0,0.24,199,0,0,1.7,14.4,2025-01-04T12:30:00Z,28,False,15,0,0,0,0,20,0,31604,0,2,1,0.0,1,-582,1138,1720,49,True,0,227127.0,Yves,Bissouma,493.0,482.0,587.0,MID,MID,MID,5.5,227127.0,0.0,0.0,1.0,2.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,15.0,0,1
521148,Jacob Murphy,MID,Newcastle,7.5,1,0,27,0,33.4,402,0.28,0.28,0.0,0.77,199,1,0,7.0,30.8,2025-01-04T12:30:00Z,85,False,18,0,0,0,0,20,0,559099,1,2,1,6.0,5,139757,192603,52846,51,False,0,114243.0,Jacob,Murphy,423.0,402.0,489.0,MID,MID,MID,6.5,114243.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,27.0,0,5
820024,Sean Longstaff,MID,Newcastle,0.1,0,0,3,0,0.3,410,0.0,0.0,0.0,0.17,199,0,0,0.1,0.2,2025-01-04T12:30:00Z,4,False,18,0,0,0,0,20,0,49722,0,2,1,0.0,1,-1853,2168,4021,46,False,0,180135.0,Sean,Longstaff,421.0,410.0,493.0,MID,MID,MID,5.0,180135.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,3.0,0,1
1386775,Lucas Bergvall,MID,Spurs,1.5,0,0,14,0,7.0,481,0.03,0.03,0.0,2.29,199,2,0,2.0,13.0,2025-01-04T12:30:00Z,61,False,15,0,0,0,0,20,0,91967,1,2,1,0.0,2,-2457,5650,8107,44,True,0,570526.0,Lucas,Bergvall,0.0,481.0,586.0,0,MID,MID,5.5,570526.0,0.0,1.0,3.0,1.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0,0,0.0,-0.0,14.0,0,4
1203661,Radu Drăgușin,DEF,Spurs,1.7,0,0,-6,0,0.1,486,0.0,0.0,0.0,1.9,199,2,0,0.1,1.0,2025-01-04T12:30:00Z,45,False,15,0,0,0,0,20,0,34420,1,2,1,0.0,0,-2660,1875,4535,43,True,0,493125.0,Radu,Dragusin,777.0,486.0,572.0,DEF,DEF,DEF,4.5,493125.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,-6.0,0,0
724436,Sergio Reguilón,DEF,Spurs,0.7,0,0,14,0,2.8,496,0.2,0.27,0.07,0.62,199,0,0,2.1,9.6,2025-01-04T12:30:00Z,45,False,15,0,0,0,0,20,0,18284,0,2,1,9.0,0,15,689,674,42,True,1,199249.0,Sergio,Reguilón,508.0,496.0,0.0,DEF,DEF,DEF,0.0,199249.0,0.0,3.0,1.0,3.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,14.0,0,0
941573,Pedro Porro,DEF,Spurs,3.3,1,0,27,0,32.3,495,0.25,0.31,0.06,2.53,199,2,0,7.9,41.8,2025-01-04T12:30:00Z,90,False,15,0,0,0,0,20,0,2679060,1,2,1,5.0,4,-151360,36016,187376,55,True,0,441164.0,Pedro,Porro,506.0,495.0,568.0,DEF,DEF,DEF,5.5,441164.0,0.0,0.0,3.0,5.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,27.0,0,4
591734,Dominic Solanke-Mitchell,FWD,Spurs,6.0,0,3,31,0,1.7,82,0.12,0.58,0.46,2.53,199,2,1,9.4,43.4,2025-01-04T12:30:00Z,90,False,15,0,0,0,0,20,0,991867,1,2,1,49.0,9,-101527,48488,150015,75,True,0,154566.0,Dominic,Solanke,85.0,82.0,596.0,FWD,FWD,FWD,7.5,154566.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,31.0,3,9
906937,Anthony Gordon,MID,Newcastle,6.5,0,0,24,0,23.3,398,0.05,0.67,0.62,0.54,199,1,1,11.3,40.4,2025-01-04T12:30:00Z,77,False,18,0,0,0,0,20,0,1820020,1,2,1,49.0,7,377160,451364,74204,74,False,0,232826.0,Anthony,Gordon,412.0,398.0,485.0,MID,MID,MID,7.5,232826.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,24.0,0,7
