fotmob_id,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,code,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,25_cost,opta_id,shots_on_target,fouls_won,clearances,tackles_won,interceptions,blocks,recoveries,tackles,tackles_lost,saves_inside_box,saves_outside_box,penalties_scored,games,abs_cleans_change,abs_goals_scored_change,abs_goals_conceded_change,abs_def_contribution_change,bps_cleans_change,bps_goals_scored_change,bps_goals_conceded_change,bps_fouls_won_change,bps_shot_on_target_change,bps_saves_change,bps_penalties_scored_change,new_bps,new_bonus,new_total_points
169719,Chris Wood,FWD,Nott'm Forest,3.0,0,2,33,1,13.8,447,0.24,0.36,0.12,1.76,329,0,1,6.9,38.2,2025-04-21T19:00:00Z,75,0,0,0,0,0,0,0,False,18,0,0,0,0,33,0,2751565,1,2,1,17.0,8,-227794,42844,270638,69,False,0,60689.0,Chris,Wood,468.0,447.0,525.0,FWD,FWD,FWD,7.5,60689.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,33.0,2,8
654908,Richarlison de Andrade,FWD,Spurs,2.3,0,0,13,0,1.3,497,0.0,1.46,1.46,0.48,329,2,1,10.8,29.0,2025-04-21T19:00:00Z,90,0,0,0,0,0,0,0,False,16,0,0,0,0,33,0,40717,1,2,1,78.0,6,442,705,263,68,True,0,212319.0,Richarlison,de Andrade,509.0,497.0,597.0,MID,FWD,FWD,6.5,212319.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,13.0,0,6
789502,Morgan Gibbs-White,MID,Nott'm Forest,2.5,0,0,4,0,3.8,433,0.0,0.33,0.33,2.11,329,1,0,1.9,7.6,2025-04-21T19:00:00Z,90,0,0,0,0,0,0,0,False,18,0,0,0,0,33,0,617990,1,2,1,8.0,1,-87941,13018,100959,65,False,1,222531.0,Morgan,Gibbs-White,447.0,433.0,515.0,MID,MID,MID,7.5,222531.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,4.0,0,1
1386775,Lucas Bergvall,MID,Spurs,1.3,0,0,4,0,1.3,481,0.01,0.01,0.0,0.0,329,0,0,0.4,2.8,2025-04-21T19:00:00Z,9,0,0,0,0,0,0,0,False,16,0,0,0,0,33,0,110221,0,2,1,0.0,1,-3673,2147,5820,44,True,0,570526.0,Lucas,Bergvall,0.0,481.0,586.0,0,MID,MID,5.5,570526.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,4.0,0,1
827315,Nicolás Domínguez,MID,Nott'm Forest,3.0,1,0,14,0,10.5,431,0.0,0.0,0.0,1.39,329,0,0,4.1,28.2,2025-04-21T19:00:00Z,57,0,0,0,0,0,0,0,False,18,0,0,0,0,33,0,4345,1,2,1,2.0,4,-60,84,144,48,False,0,250199.0,Nicolás,Domínguez,712.0,431.0,519.0,MID,MID,MID,5.0,250199.0,0.0,1.0,3.0,2.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,14.0,0,4
754126,Kevin Danso,DEF,Spurs,-0.3,0,0,10,0,2.5,767,0.06,0.08,0.02,0.31,329,0,0,1.7,13.8,2025-04-21T19:00:00Z,45,0,0,0,0,0,0,0,False,16,0,0,0,0,33,0,2939,0,2,1,1.0,1,-263,36,299,44,True,0,135720.0,Kevin,Danso,0.0,767.0,570.0,0,DEF,DEF,4.5,135720.0,0.0,1.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,10.0,0,1
643717,Taiwo Awoniyi,FWD,Nott'm Forest,0.7,0,0,1,0,0.0,424,0.0,0.0,0.0,0.38,329,1,0,0.3,3.2,2025-04-21T19:00:00Z,14,0,0,0,0,0,0,0,False,18,0,0,0,0,33,0,35349,0,2,1,0.0,1,-1567,62,1629,55,False,0,210156.0,Taiwo,Awoniyi,437.0,424.0,527.0,FWD,FWD,FWD,5.5,210156.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,1.0,0,1
1288111,Mathys Tel,MID,Spurs,4.0,0,0,15,0,75.8,768,0.42,0.69,0.27,0.48,329,2,0,11.8,15.2,2025-04-21T19:00:00Z,90,0,0,0,0,0,0,0,False,16,0,0,0,0,33,0,11464,1,2,1,27.0,2,-304,1169,1473,58,True,0,511499.0,Mathys,Tel,0.0,768.0,584.0,0,MID,MID,6.5,511499.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,15.0,0,2
1487909,Felipe Rodrigues da Silva,DEF,Nott'm Forest,1.0,0,0,1,0,0.2,653,0.0,0.0,0.0,0.83,329,1,0,0.8,7.4,2025-04-21T19:00:00Z,45,0,0,0,0,0,0,0,False,18,0,0,0,0,33,0,11643,0,2,1,0.0,1,-286,143,429,45,False,0,485047.0,Felipe,Rodrigues da Silva,0.0,653.0,511.0,0,DEF,DEF,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0,1
766611,Nikola Milenković,DEF,Nott'm Forest,3.3,0,0,8,0,0.2,573,0.01,0.01,0.0,2.14,329,1,0,2.6,25.4,2025-04-21T19:00:00Z,90,0,0,0,0,0,0,0,False,18,0,0,0,0,33,0,1779720,1,2,1,0.0,2,-29203,91065,120268,51,False,0,227444.0,Nikola,Milenković,0.0,573.0,505.0,0,DEF,DEF,5.5,227444.0,0.0,1.0,9.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0,0,0.0,0.0,8.0,0,4
