fotmob_id,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,code,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,25_cost,opta_id,shots_on_target,fouls_won,clearances,tackles_won,interceptions,blocks,recoveries,tackles,tackles_lost,saves_inside_box,saves_outside_box,penalties_scored,games,abs_cleans_change,abs_goals_scored_change,abs_goals_conceded_change,abs_def_contribution_change,bps_cleans_change,bps_goals_scored_change,bps_goals_conceded_change,bps_fouls_won_change,bps_shot_on_target_change,bps_saves_change,bps_penalties_scored_change,new_bps,new_bonus,new_total_points
1054122,Boubacar Traoré,MID,Wolves,0.3,0,0,12,0,4.3,574,0.02,0.02,0.0,2.89,131,2,0,1.2,7.4,2023-12-02T15:00:00Z,90,1,0,0,0,0,14,0,44080,1,1,2,0.0,2,-856,466,1322,44,False,0,476502.0,Boubacar,Traoré,574.0,534.0,649.0,MID,MID,MID,5.0,476502,0,0,1,0,1,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,2
860920,Eddie Nketiah,FWD,Arsenal,1.7,0,0,-2,0,1.2,13,0.0,0.52,0.52,0.13,131,1,0,0.3,0.0,2023-12-02T15:00:00Z,23,20,0,0,0,0,14,0,935283,0,1,2,4.0,1,-127032,37520,164552,57,True,0,205533.0,Eddie,Nketiah,13.0,11.0,284.0,FWD,FWD,FWD,5.5,205533,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,0,1
240054,Pablo Sarabia,MID,Wolves,2.5,0,0,2,0,7.4,570,0.1,0.1,0.0,1.31,131,0,0,0.9,1.8,2023-12-02T15:00:00Z,27,1,0,0,0,0,14,0,17314,0,1,2,0.0,1,-699,1670,2369,47,False,0,88484.0,Pablo,Sarabia,570.0,565.0,0.0,MID,MID,MID,0.0,88484,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
776151,Benjamin White,DEF,Arsenal,1.5,0,0,3,0,0.3,29,0.0,0.0,0.0,0.13,131,1,0,0.2,2.0,2023-12-02T15:00:00Z,11,20,0,0,0,0,14,0,1303097,0,1,2,0.0,1,-49461,22639,72100,57,True,0,198869.0,Benjamin,White,29.0,24.0,11.0,DEF,DEF,DEF,5.5,198869,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1
795179,Gabriel dos Santos Magalhães,DEF,Arsenal,3.5,0,0,15,0,11.8,5,0.01,0.36,0.35,0.71,131,1,0,3.4,8.6,2023-12-02T15:00:00Z,90,20,0,0,0,0,14,0,1636459,1,1,2,14.0,2,53508,76716,23208,49,True,0,226597.0,Gabriel,dos Santos Magalhães,5.0,3.0,5.0,DEF,DEF,DEF,6.0,226597,0,2,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,17,0,2
664444,Takehiro Tomiyasu,DEF,Arsenal,6.0,1,2,33,1,21.8,25,0.12,0.12,0.0,0.58,131,0,0,6.0,34.6,2023-12-02T15:00:00Z,78,20,0,0,0,0,14,0,68959,1,1,2,4.0,11,18827,20938,2111,45,True,0,223723.0,Takehiro,Tomiyasu,25.0,22.0,0.0,DEF,DEF,DEF,0.0,223723,0,0,0,1,1,0,4,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,2,11
562727,David Raya Martin,GK,Arsenal,2.3,0,0,12,0,0.0,113,0.01,0.01,0.0,0.71,131,1,0,1.9,18.6,2023-12-02T15:00:00Z,90,20,0,0,0,0,14,2,512943,1,1,2,0.0,2,66140,80135,13995,49,True,0,154561.0,David,Raya Martin,113.0,15.0,1.0,GK,GK,GK,5.5,154561,0,0,0,0,0,0,8,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,14,0,2
955406,William Saliba,DEF,Arsenal,5.0,0,0,8,0,1.8,20,0.01,0.01,0.0,0.71,131,1,0,1.0,8.4,2023-12-02T15:00:00Z,90,20,0,0,0,0,14,0,3692181,1,1,2,0.0,1,237051,257774,20723,55,True,1,462424.0,William,Saliba,20.0,18.0,6.0,DEF,DEF,DEF,6.0,462424,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,0,1
940442,Tommy Doyle,MID,Wolves,1.0,0,0,17,0,22.7,351,0.39,0.39,0.0,2.89,131,2,0,3.5,12.6,2023-12-02T15:00:00Z,90,1,0,0,0,0,14,0,6274,1,1,2,0.0,2,187,596,409,44,False,0,220394.0,Tommy,Doyle,351.0,544.0,0.0,MID,MID,MID,0.0,220394,0,0,1,0,2,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,2
1021586,Gabriel Martinelli Silva,MID,Arsenal,2.7,0,0,2,1,15.2,12,0.05,0.18,0.13,0.58,131,0,0,3.2,0.0,2023-12-02T15:00:00Z,77,20,0,0,0,0,14,0,755080,1,1,2,19.0,3,-15904,42279,58183,78,True,0,444145.0,Gabriel,Martinelli Silva,12.0,9.0,19.0,MID,MID,MID,7.0,444145,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,3
