fotmob_id,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,code,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,25_cost,opta_id,shots_on_target,fouls_won,clearances,tackles_won,interceptions,blocks,recoveries,tackles,tackles_lost,saves_inside_box,saves_outside_box,penalties_scored,games,abs_cleans_change,abs_goals_scored_change,abs_goals_conceded_change,abs_def_contribution_change,bps_cleans_change,bps_goals_scored_change,bps_goals_conceded_change,bps_fouls_won_change,bps_shot_on_target_change,bps_saves_change,bps_penalties_scored_change,new_bps,new_bonus,new_total_points
672469,Ben Chilwell,DEF,Chelsea,2.3,0,0,0,0,4.6,195,0.0,0.0,0.0,0.09,42,0,0,0.9,2.6,2023-09-17T13:00:00Z,10,3,0,0,0,0,5,0,3234532,0,0,0,2.0,0,-71697,136786,208483,58,False,1,172850.0,Ben,Chilwell,195.0,160.0,0.0,DEF,DEF,DEF,0.0,172850,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
789630,Marcus Tavernier,MID,Bournemouth,2.3,0,0,11,1,12.0,86,0.02,0.09,0.07,1.21,42,0,0,4.0,7.6,2023-09-17T13:00:00Z,72,7,0,0,0,0,5,0,1793,1,0,0,20.0,3,203,350,147,54,True,0,201658.0,Marcus,Tavernier,86.0,83.0,84.0,MID,MID,MID,5.5,201658,1,3,0,1,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,16,0,3
846369,Luis Sinisterra,MID,Bournemouth,2.1,0,0,1,0,0.3,705,0.0,0.0,0.0,0.5,42,0,0,0.4,0.0,2023-09-17T13:00:00Z,17,7,0,0,0,0,5,0,390,0,0,0,4.0,1,177,226,49,55,True,0,224995.0,Luis,Sinisterra,705.0,80.0,91.0,MID,MID,MID,5.0,224995,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1
794253,Justin Kluivert,MID,Bournemouth,1.3,0,0,5,0,15.2,72,0.55,0.6,0.05,1.04,42,0,0,3.4,5.8,2023-09-17T13:00:00Z,27,7,0,0,0,0,5,0,26094,0,0,0,13.0,1,-3175,1206,4381,48,True,0,222683.0,Justin,Kluivert,72.0,71.0,81.0,MID,MID,MID,7.0,222683,0,4,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,9,0,1
1200631,Lesley Ugochukwu,MID,Chelsea,1.3,0,0,11,1,14.0,613,0.03,0.03,0.0,1.19,42,0,0,2.2,8.0,2023-09-17T13:00:00Z,90,3,0,0,0,0,5,0,15834,1,0,0,0.0,3,1465,3383,1918,44,False,0,503714.0,Lesley,Ugochukwu,613.0,188.0,676.0,MID,MID,MID,5.0,503714,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,3
1250253,Dango Ouattara,MID,Bournemouth,1.0,0,0,5,1,5.8,78,0.0,0.32,0.32,0.68,42,0,0,5.8,10.2,2023-09-17T13:00:00Z,62,7,0,0,0,0,5,0,1531,1,0,0,42.0,3,-261,36,297,48,True,0,533463.0,Dango,Ouattara,78.0,74.0,83.0,MID,MID,MID,6.0,533463,1,0,2,2,1,0,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,7,0,3
1096400,Levi Colwill,DEF,Chelsea,4.7,0,0,21,1,1.1,197,0.0,0.52,0.52,1.1,42,0,0,8.4,14.6,2023-09-17T13:00:00Z,79,3,0,0,0,0,5,0,390119,1,0,0,68.0,6,-12221,24374,36595,45,False,0,460028.0,Levi,Colwill,197.0,162.0,227.0,DEF,DEF,DEF,5.0,460028,2,0,1,1,0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,25,0,6
674014,David Brooks,MID,Bournemouth,3.3,0,0,4,0,10.5,64,0.04,0.04,0.0,0.0,42,0,0,1.3,2.4,2023-09-17T13:00:00Z,1,7,0,0,0,0,5,0,10517,0,0,0,0.0,1,2226,3360,1134,49,True,0,111317.0,David,Brooks,64.0,62.0,86.0,MID,MID,MID,5.0,111317,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1
1140003,Illia Zabarnyi,DEF,Bournemouth,2.7,0,0,23,1,0.4,89,0.0,0.0,0.0,1.71,42,0,0,1.0,10.0,2023-09-17T13:00:00Z,90,7,0,0,0,0,5,0,9423,1,0,0,0.0,6,-1828,238,2066,45,True,0,477580.0,Illia,Zabarnyi,89.0,85.0,71.0,DEF,DEF,DEF,5.0,477580,0,1,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,24,0,6
785411,Marcos Senesi,DEF,Bournemouth,1.7,0,0,4,0,0.0,83,0.0,0.0,0.0,0.5,42,0,0,1.0,10.0,2023-09-17T13:00:00Z,16,7,0,0,0,0,5,0,15348,0,0,0,0.0,1,779,2223,1444,44,True,0,221466.0,Marcos,Senesi,83.0,79.0,72.0,DEF,DEF,DEF,4.5,221466,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1
1137705,Enzo Fernández,MID,Chelsea,2.3,0,0,10,1,7.3,199,0.03,0.05,0.02,1.1,42,0,0,2.5,8.6,2023-09-17T13:00:00Z,80,3,0,0,0,0,5,0,388045,1,0,0,9.0,3,-35053,23566,58619,50,False,0,448047.0,Enzo,Fernández,199.0,168.0,237.0,MID,MID,MID,6.5,448047,1,3,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,15,0,3
819215,Lloyd Kelly,DEF,Bournemouth,2.7,0,2,32,1,11.0,70,0.02,0.02,0.0,1.71,42,0,0,3.0,19.4,2023-09-17T13:00:00Z,90,7,0,0,0,0,5,0,2523,1,0,0,0.0,8,-155,193,348,45,True,0,235530.0,Lloyd,Kelly,70.0,404.0,0.0,DEF,DEF,DEF,0.0,235530,0,1,4,1,1,1,7,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,33,1,7
1197347,Nicolas Jackson,FWD,Chelsea,3.0,0,0,-4,1,4.8,211,0.07,0.28,0.21,1.19,42,0,0,2.8,0.0,2023-09-17T13:00:00Z,90,3,0,0,0,0,5,0,1743588,1,0,0,26.0,1,-385693,53664,439357,71,False,1,517052.0,Nicolas,Jackson,211.0,180.0,251.0,FWD,FWD,FWD,6.5,517052,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,-1,0,1
966026,Ian Maatsen,MID,Chelsea,0.7,0,0,3,0,2.3,609,0.02,0.22,0.2,0.09,42,0,0,0.8,0.2,2023-09-17T13:00:00Z,9,3,0,0,0,0,5,0,5771,0,0,0,5.0,1,-726,171,897,53,False,0,441302.0,Ian,Maatsen,609.0,45.0,39.0,MID,DEF,DEF,4.5,441302,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1
562724,Lewis Cook,MID,Bournemouth,2.0,0,0,19,1,11.8,66,0.02,0.06,0.04,1.71,42,0,0,4.8,19.2,2023-09-17T13:00:00Z,90,7,0,0,0,0,5,0,1811,1,0,0,17.0,3,-40,89,129,50,True,0,155408.0,Lewis,Cook,66.0,64.0,88.0,MID,MID,MID,5.0,155408,1,1,2,3,5,0,3,3,0,0,0,0,1,0,0,0,2,0,0,0,1,2,0,0,22,0,5
1197250,Malo Gusto,DEF,Chelsea,7.3,0,0,26,1,6.3,203,0.06,0.08,0.02,1.19,42,0,0,2.3,7.4,2023-09-17T13:00:00Z,90,3,0,0,0,0,5,0,1318280,1,0,0,9.0,6,164817,241258,76441,42,False,0,482609.0,Malo,Gusto,203.0,171.0,228.0,DEF,DEF,DEF,5.0,482609,0,2,2,2,0,0,9,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,28,0,6
1195281,Milos Kerkez,DEF,Bournemouth,2.3,0,0,14,1,6.2,595,0.11,0.11,0.0,1.21,42,0,0,1.1,5.2,2023-09-17T13:00:00Z,73,7,0,0,0,0,5,0,21665,1,0,0,0.0,5,-2106,484,2590,45,True,1,544877.0,Milos,Kerkez,595.0,70.0,371.0,DEF,DEF,DEF,6.0,544877,0,0,2,1,2,0,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,5
