fotmob_id,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,code,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,25_cost,opta_id,shots_on_target,fouls_won,clearances,tackles_won,interceptions,blocks,recoveries,tackles,tackles_lost,saves_inside_box,saves_outside_box,penalties_scored,games,abs_cleans_change,abs_goals_scored_change,abs_goals_conceded_change,abs_def_contribution_change,bps_cleans_change,bps_goals_scored_change,bps_goals_conceded_change,bps_fouls_won_change,bps_shot_on_target_change,bps_saves_change,bps_penalties_scored_change,new_bps,new_bonus,new_total_points
620026,Hwang Hee-chan,MID,Wolves,1.5,1,0,11,0,3.5,550,0.0,0.0,0.0,0.26,240,0,0,0.3,0.0,2025-02-01T17:30:00Z,11,0,0,0,0,0,0,0,False,2,0,0,0,0,24,0,30188,0,0,2,0.0,4,-908,711,1619,61,True,0,184754.0,Hwang,Hee-chan,557.0,550.0,642.0,MID,MID,MID,6.0,184754.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,11.0,0,4
416175,José Malheiro de Sá,GK,Wolves,3.0,0,0,27,1,0.0,554,0.0,0.0,0.0,0.45,240,0,0,1.7,17.4,2025-02-01T17:30:00Z,90,0,0,0,0,0,0,0,False,2,0,0,0,0,24,3,202002,1,0,2,0.0,7,-1271,5431,6702,43,True,0,149065.0,José,Malheiro de Sá,569.0,554.0,628.0,GK,GK,GK,4.5,149065.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0,0.0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,28.0,0,7
536455,Gonçalo Manuel Ganchinho Guedes,MID,Wolves,1.8,0,0,-1,1,1.9,548,0.0,1.08,1.08,0.19,240,0,0,2.7,1.2,2025-02-01T17:30:00Z,72,0,0,0,0,0,0,0,False,2,0,0,0,0,24,0,12859,1,0,2,24.0,3,-957,352,1309,53,True,0,181284.0,Gonçalo Manuel,Ganchinho Guedes,554.0,548.0,647.0,MID,MID,MID,5.5,181284.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,-1.0,0,3
470834,Nélson Cabral Semedo,DEF,Wolves,2.2,0,0,13,1,3.5,559,0.0,0.0,0.0,0.45,240,0,0,1.7,11.0,2025-02-01T17:30:00Z,90,0,0,0,0,0,0,0,False,2,0,0,0,0,24,0,24661,1,0,2,2.0,6,-378,1043,1421,45,True,0,200402.0,Nélson,Cabral Semedo,572.0,559.0,0.0,DEF,DEF,DEF,0.0,200402.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,13.0,0,6
940442,Tommy Doyle,MID,Wolves,0.8,0,0,3,0,0.3,544,0.0,0.0,0.0,0.26,240,0,0,0.6,5.4,2025-02-01T17:30:00Z,17,0,0,0,0,0,0,0,False,2,0,0,0,0,24,0,4217,0,0,2,0.0,1,-42,72,114,48,True,0,220394.0,Tommy,Doyle,351.0,544.0,0.0,MID,MID,MID,0.0,220394.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,3.0,0,1
769166,Jean-Ricner Bellegarde,MID,Wolves,3.5,0,3,36,1,13.8,535,0.15,0.3,0.15,0.25,240,0,1,7.7,44.0,2025-02-01T17:30:00Z,87,0,0,0,0,0,0,0,False,2,0,0,0,0,24,0,5830,1,0,2,19.0,11,-76,76,152,49,True,0,231057.0,Jean-Ricner,Bellegarde,715.0,535.0,644.0,MID,MID,MID,5.5,231057.0,1.0,2.0,1.0,1.0,2.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,36.0,3,11
1114979,Emmanuel Agbadou,DEF,Wolves,2.2,0,0,25,1,0.3,720,0.0,0.0,0.0,0.45,240,0,0,2.3,22.4,2025-02-01T17:30:00Z,90,0,0,0,0,0,0,0,False,2,0,0,0,0,24,0,3578,1,0,2,0.0,6,1478,1731,253,40,True,0,516939.0,Emmanuel,Agbadou,0.0,720.0,631.0,0,DEF,DEF,4.5,516939.0,0.0,0.0,7.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0,0,0.0,0.0,25.0,0,8
1192166,Rodrigo Martins Gomes,MID,Wolves,1.2,0,0,3,0,0.0,563,0.0,0.0,0.0,0.26,240,0,0,0.8,8.0,2025-02-01T17:30:00Z,17,0,0,0,0,0,0,0,False,2,0,0,0,0,24,0,7748,0,0,2,0.0,1,-88,106,194,51,True,0,483081.0,Rodrigo,Martins Gomes,0.0,563.0,635.0,0,MID,DEF,4.5,483081.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,-0.0,3.0,0,1
1190033,Lamare Bogarde,DEF,Aston Villa,0.5,0,0,4,0,2.3,598,0.01,0.01,0.0,1.5,240,1,0,0.8,3.2,2025-02-01T17:30:00Z,82,0,0,0,0,0,0,0,False,20,0,0,0,0,24,0,29221,1,0,2,2.0,1,156,939,783,40,False,1,515597.0,Lamare,Bogarde,0.0,598.0,44.0,0,DEF,DEF,4.0,515597.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,0,1
710159,Ezri Konsa Ngoyo,DEF,Aston Villa,3.0,0,0,7,0,1.8,44,0.01,0.01,0.0,1.63,240,2,0,0.8,6.6,2025-02-01T17:30:00Z,90,0,0,0,0,0,0,0,False,20,0,0,0,0,24,0,735940,1,0,2,0.0,1,-2934,17446,20380,44,False,0,199798.0,Ezri,Konsa Ngoyo,48.0,44.0,38.0,DEF,DEF,DEF,4.5,199798.0,0.0,4.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,7.0,0,1
