fotmob_id,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,code,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,25_cost,opta_id,shots_on_target,fouls_won,clearances,tackles_won,interceptions,blocks,recoveries,tackles,tackles_lost,saves_inside_box,saves_outside_box,penalties_scored,games,abs_cleans_change,abs_goals_scored_change,abs_goals_conceded_change,abs_def_contribution_change,bps_cleans_change,bps_goals_scored_change,bps_goals_conceded_change,bps_fouls_won_change,bps_shot_on_target_change,bps_saves_change,bps_penalties_scored_change,new_bps,new_bonus,new_total_points
862608,Mitoma Kaoru,MID,Brighton,0.0,1,2,38,0,24.8,136,0.28,1.08,0.8,1.48,217,1,1,12.3,58.8,2025-01-19T14:00:00Z,90,0,0,0,0,0,0,0,False,14,0,0,0,0,22,0,556632,1,3,1,39.0,12,-23355,10718,34073,63,False,0,451340.0,Kaoru,Mitoma,143.0,136.0,157.0,MID,MID,MID,6.5,451340,1,0,1,1,1,0,4,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38,2,12
422685,Bruno Borges Fernandes,MID,Man Utd,0.0,0,1,31,0,23.8,366,0.23,1.11,0.88,1.93,217,3,1,8.3,36.6,2025-01-19T14:00:00Z,90,0,0,0,0,0,0,0,False,5,0,0,0,0,22,0,1169619,1,3,1,23.0,8,-67044,38864,105908,84,True,0,141746.0,Bruno,Borges Fernandes,373.0,366.0,449.0,MID,MID,MID,9.0,141746,1,1,0,0,1,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-6,25,1,8
1199272,Rasmus Højlund,FWD,Man Utd,0.0,0,0,3,0,0.3,375,0.0,0.0,0.0,0.0,217,0,0,0.0,0.0,2025-01-19T14:00:00Z,6,0,0,0,0,0,0,0,False,5,0,0,0,0,22,0,144024,0,3,1,0.0,1,-34481,3932,38413,69,True,0,497894.0,Rasmus,Højlund,617.0,375.0,465.0,FWD,FWD,FWD,6.5,497894,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1
1168311,Yasin Ayari,MID,Brighton,0.0,0,0,12,0,6.1,600,0.02,0.02,0.0,1.48,217,1,0,1.8,11.6,2025-01-19T14:00:00Z,90,0,0,0,0,0,0,0,False,14,0,0,0,0,22,0,3576,1,3,1,0.0,2,-62,72,134,50,False,0,509416.0,Yasin,Ayari,124.0,600.0,166.0,MID,MID,MID,5.0,509416,0,0,2,0,1,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,2
955139,Tariq Lamptey,DEF,Brighton,0.0,0,0,3,0,0.0,131,0.0,0.0,0.0,0.07,217,0,0,0.5,5.4,2025-01-19T14:00:00Z,6,0,0,0,0,0,0,0,False,14,0,0,0,0,22,0,40092,0,3,1,0.0,1,-4206,416,4622,44,False,0,232792.0,Tariq,Lamptey,139.0,131.0,150.0,DEF,DEF,DEF,4.5,232792,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1
1352713,Carlos Baleba,MID,Brighton,0.0,0,0,-1,0,12.0,115,0.01,0.03,0.02,1.48,217,1,0,1.3,0.0,2025-01-19T14:00:00Z,90,0,0,0,0,0,0,0,False,14,0,0,0,0,22,0,18500,1,3,1,1.0,1,-764,523,1287,50,False,1,535301.0,Carlos,Baleba,690.0,115.0,167.0,MID,MID,MID,5.0,535301,0,2,0,1,1,0,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1
1131987,Bart Verbruggen,GK,Brighton,0.0,0,0,4,0,0.0,146,0.0,0.0,0.0,1.48,217,1,0,0.4,3.6,2025-01-19T14:00:00Z,90,0,0,0,0,0,0,0,False,14,0,0,0,0,22,0,330376,1,3,1,0.0,2,-9809,10108,19917,45,False,0,489639.0,Bart,Verbruggen,152.0,146.0,139.0,GK,GK,GK,4.5,489639,0,0,3,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2
1035614,Manuel Ugarte,MID,Man Utd,0.0,0,0,2,0,0.6,652,0.0,0.05,0.05,1.66,217,2,0,0.6,3.4,2025-01-19T14:00:00Z,63,0,0,0,0,0,0,0,False,5,0,0,0,0,22,0,11169,1,3,1,2.0,1,-96,960,1056,49,True,1,232112.0,Manuel,Ugarte,0.0,652.0,459.0,0,MID,MID,5.0,232112,0,0,0,2,0,0,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
775539,Noussair Mazraoui,DEF,Man Utd,0.0,0,0,0,0,11.9,594,0.06,0.06,0.0,1.93,217,3,0,2.1,5.4,2025-01-19T14:00:00Z,83,0,0,0,0,0,0,0,False,5,0,0,0,0,22,0,1250400,1,3,1,4.0,1,-63660,13737,77397,44,True,0,230001.0,Noussair,Mazraoui,0.0,594.0,438.0,0,DEF,DEF,5.0,230001,0,0,0,1,2,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1421810,Toby Collyer,MID,Man Utd,0.0,0,0,4,0,2.6,613,0.0,0.0,0.0,0.27,217,1,0,0.3,0.6,2025-01-19T14:00:00Z,26,0,0,0,0,0,0,0,False,5,0,0,0,0,22,0,4699,0,3,1,0.0,1,160,326,166,45,True,0,490881.0,Toby,Collyer,826.0,613.0,460.0,MID,MID,MID,4.5,490881,0,0,0,1,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1
