fotmob_id,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,code,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,25_cost,opta_id,shots_on_target,fouls_won,clearances,tackles_won,interceptions,blocks,recoveries,tackles,tackles_lost,saves_inside_box,saves_outside_box,penalties_scored,games,abs_cleans_change,abs_goals_scored_change,abs_goals_conceded_change,abs_def_contribution_change,bps_cleans_change,bps_goals_scored_change,bps_goals_conceded_change,bps_fouls_won_change,bps_shot_on_target_change,bps_saves_change,bps_penalties_scored_change,new_bps,new_bonus,new_total_points
259306,Emil Krafth,DEF,Newcastle,2.8,0,0,16,0,15.4,417,0.13,0.18,0.05,1.44,337,3,0,4.9,22.4,2024-05-15T19:00:00Z,90,14,0,0,0,0,37,0,18203,1,2,3,11.0,1,9302,10149,847,44,False,0,111773.0,Emil,Krafth,417.0,405.0,479.0,DEF,DEF,DEF,4.5,111773,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,1
1070052,Amad Diallo,MID,Man Utd,5.8,1,3,33,0,23.8,371,0.06,0.27,0.21,2.18,337,1,1,12.9,62.2,2024-05-15T19:00:00Z,81,15,0,0,0,0,37,0,2931,1,2,3,43.0,12,162,260,98,44,True,1,493250.0,Amad,Diallo,371.0,364.0,452.0,MID,MID,MID,6.5,493250,2,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,38,4,13
535936,Joelinton Cássio Apolinário de Lira,MID,Newcastle,1.2,0,0,6,0,14.7,416,0.19,0.38,0.19,0.27,337,1,0,5.8,8.4,2024-05-15T19:00:00Z,28,14,0,0,0,0,37,0,41118,0,2,3,35.0,1,370,515,145,58,False,0,180974.0,Joelinton Cássio,Apolinário de Lira,416.0,403.0,490.0,MID,MID,MID,6.0,180974,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,0,12,0,1
1199272,Rasmus Højlund,FWD,Man Utd,6.6,0,1,29,0,0.0,617,0.0,0.05,0.05,0.14,337,1,1,5.1,32.0,2024-05-15T19:00:00Z,8,15,0,0,0,0,37,0,631298,0,2,3,19.0,6,-14078,53865,67943,71,True,0,497894.0,Rasmus,Højlund,617.0,375.0,465.0,FWD,FWD,FWD,6.5,497894,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,31,2,7
43248,Jonny Evans,DEF,Man Utd,0.2,0,0,9,0,0.8,703,0.0,0.0,0.0,2.32,337,2,0,1.1,9.8,2024-05-15T19:00:00Z,90,15,0,0,0,0,37,0,65187,1,2,3,0.0,1,6837,9786,2949,40,True,0,37642.0,Jonny,Evans,703.0,371.0,0.0,DEF,DEF,DEF,0.0,37642,0,0,4,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,1
157723,Christian Eriksen,MID,Man Utd,2.6,0,0,4,0,10.6,379,0.01,0.01,0.0,0.04,337,1,0,1.5,4.2,2024-05-15T19:00:00Z,1,15,0,0,0,0,37,0,41682,0,2,3,0.0,1,204,400,196,58,True,0,80607.0,Christian,Eriksen,379.0,370.0,0.0,MID,MID,MID,0.0,80607,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1
820024,Sean Longstaff,MID,Newcastle,8.8,0,0,5,0,13.0,421,0.03,0.78,0.75,1.29,337,2,0,4.1,4.6,2024-05-15T19:00:00Z,76,14,0,0,0,0,37,0,43777,1,2,3,23.0,2,5613,6673,1060,48,False,0,180135.0,Sean,Longstaff,421.0,410.0,493.0,MID,MID,MID,5.0,180135,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,7,0,2
521148,Jacob Murphy,MID,Newcastle,9.6,1,0,28,0,30.1,423,0.39,0.39,0.0,1.17,337,2,0,6.0,28.0,2024-05-15T19:00:00Z,61,14,0,0,0,0,37,0,22962,1,2,3,2.0,5,10397,11067,670,48,False,0,114243.0,Jacob,Murphy,423.0,402.0,489.0,MID,MID,MID,6.5,114243,0,3,2,1,1,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,31,2,7
72241,Martin Dubravka,GK,Newcastle,5.2,0,0,18,0,0.0,409,0.0,0.0,0.0,1.44,337,3,0,3.8,38.0,2024-05-15T19:00:00Z,90,14,0,0,0,0,37,5,964707,1,2,3,0.0,2,45923,91305,45382,43,False,0,67089.0,Martin,Dubravka,409.0,396.0,470.0,GK,GK,GK,4.0,67089,0,0,3,0,0,0,4,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,3,0,21,0,2
1292810,Kobbie Mainoo,MID,Man Utd,7.4,0,2,30,0,4.1,388,0.04,0.51,0.47,2.18,337,1,1,7.9,47.4,2024-05-15T19:00:00Z,82,15,0,0,0,0,37,0,95948,1,2,3,27.0,9,3732,11363,7631,44,True,0,516895.0,Kobbie,Mainoo,388.0,378.0,458.0,MID,MID,MID,5.0,516895,1,0,1,2,3,1,6,2,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,32,3,12
847983,Lisandro Martínez,DEF,Man Utd,-0.2,0,0,3,0,0.1,391,0.0,0.0,0.0,0.14,337,1,0,0.2,2.0,2024-05-15T19:00:00Z,7,15,0,0,0,0,37,0,222564,0,2,3,0.0,1,-535,248,783,47,True,0,221820.0,Lisandro,Martínez,391.0,380.0,437.0,DEF,DEF,DEF,5.0,221820,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1
188058,Dan Burn,DEF,Newcastle,3.2,0,0,11,0,0.8,407,0.0,0.12,0.12,1.44,337,3,0,3.7,18.8,2024-05-15T19:00:00Z,90,14,0,0,0,0,37,0,1497943,1,2,3,17.0,1,445989,465564,19575,47,False,0,78916.0,Dan,Burn,407.0,395.0,476.0,DEF,DEF,DEF,5.0,78916,1,0,4,2,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,13,0,1
