fotmob_id,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,code,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,25_cost,opta_id,shots_on_target,fouls_won,clearances,tackles_won,interceptions,blocks,recoveries,tackles,tackles_lost,saves_inside_box,saves_outside_box,penalties_scored,games,abs_cleans_change,abs_goals_scored_change,abs_goals_conceded_change,abs_def_contribution_change,bps_cleans_change,bps_goals_scored_change,bps_goals_conceded_change,bps_fouls_won_change,bps_shot_on_target_change,bps_saves_change,bps_penalties_scored_change,new_bps,new_bonus,new_total_points
820140,Ibrahima Konaté,DEF,Liverpool,2.8,0,0,22,1,1.7,302,0.01,0.01,0.0,0.1,85,0,0,1.7,15.2,2023-10-21T11:30:00Z,66,9,0,0,0,0,9,0,125433,1,0,2,0.0,5,3678,10225,6547,49,True,1,204716.0,Ibrahima,Konaté,302.0,326.0,374.0,DEF,DEF,DEF,5.5,204716,0,0,3,0,1,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,5
860914,Luis Díaz,MID,Liverpool,3.8,1,0,22,1,7.6,303,0.07,0.33,0.26,0.12,85,0,0,3.3,4.2,2023-10-21T11:30:00Z,80,9,0,0,0,0,9,0,954354,1,0,2,21.0,6,-21449,64231,85680,75,True,0,244731.0,Luis,Díaz,303.0,327.0,383.0,MID,MID,MID,8.0,244731,0,2,0,2,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,24,0,6
243138,James Tarkowski,DEF,Everton,2.2,0,0,7,0,0.3,265,0.06,0.06,0.0,2.24,85,2,0,2.9,24.8,2023-10-21T11:30:00Z,90,11,0,0,0,0,9,0,316232,1,0,2,4.0,0,-21601,18629,40230,45,False,1,17761.0,James,Tarkowski,265.0,236.0,291.0,DEF,DEF,DEF,5.5,17761,0,1,2,1,1,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,0,0
704151,Arnaut Danjuma Groeneveld,MID,Everton,0.2,0,0,5,0,0.0,601,0.0,0.0,0.0,0.62,85,1,0,0.2,2.2,2023-10-21T11:30:00Z,10,11,0,0,0,0,9,0,20044,0,0,2,0.0,1,-3753,672,4425,55,False,0,220307.0,Arnaut,Danjuma Groeneveld,601.0,0.0,0.0,MID,0,MID,0.0,220307,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1
568571,Joe Gomez,DEF,Liverpool,1.5,0,0,4,0,11.6,298,0.01,0.07,0.06,0.01,85,0,0,2.1,3.8,2023-10-21T11:30:00Z,9,9,0,0,0,0,9,0,52307,0,0,2,6.0,1,122,4780,4658,45,True,0,171287.0,Joe,Gomez,298.0,322.0,376.0,DEF,DEF,DEF,5.0,171287,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1
612150,Dominic Calvert-Lewin,FWD,Everton,2.8,0,0,10,1,10.3,246,0.02,0.08,0.06,0.76,85,0,0,3.9,9.2,2023-10-21T11:30:00Z,60,11,0,0,0,0,9,0,131552,1,0,2,19.0,2,-20020,16459,36479,58,False,0,177815.0,Dominic,Calvert-Lewin,246.0,220.0,0.0,FWD,FWD,FWD,0.0,177815,1,0,2,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,12,0,2
846005,Dominik Szoboszlai,MID,Liverpool,3.5,0,0,14,1,58.8,309,0.18,0.31,0.13,0.13,85,0,0,8.4,11.0,2023-10-21T11:30:00Z,90,9,0,0,0,0,9,0,579289,1,0,2,14.0,3,19297,52367,33070,70,True,0,424876.0,Dominik,Szoboszlai,309.0,336.0,387.0,MID,MID,MID,6.5,424876,0,0,1,1,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,3
760712,Trent Alexander-Arnold,DEF,Liverpool,3.2,0,0,26,1,18.9,290,0.09,0.27,0.18,0.13,85,0,0,4.4,10.4,2023-10-21T11:30:00Z,90,9,0,0,0,0,9,0,838984,1,0,2,15.0,6,18106,48282,30176,79,True,0,169187.0,Trent,Alexander-Arnold,290.0,311.0,0.0,DEF,DEF,DEF,0.0,169187,0,0,0,1,1,0,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26,0,6
963964,Harvey Elliott,MID,Liverpool,1.2,0,0,10,0,5.1,295,0.04,0.06,0.02,0.03,85,0,0,2.0,6.2,2023-10-21T11:30:00Z,28,9,0,0,0,0,9,0,17959,0,0,2,9.0,1,-35,1278,1313,48,True,0,444884.0,Harvey,Elliott,295.0,319.0,389.0,MID,MID,MID,5.5,444884,1,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,12,0,1
831489,Alexis Mac Allister,MID,Liverpool,2.5,0,0,18,1,42.9,304,0.08,0.1,0.02,0.13,85,0,0,7.0,20.4,2023-10-21T11:30:00Z,90,9,0,0,0,0,9,0,401917,1,0,2,7.0,3,-11767,12320,24087,59,True,0,243016.0,Alexis,Mac Allister,304.0,329.0,386.0,MID,MID,MID,6.5,243016,1,1,0,2,1,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,21,0,3
1079485,Norberto Bercique Gomes Betuncal,FWD,Everton,0.5,0,0,5,0,10.3,691,0.01,0.02,0.01,1.48,85,2,0,1.7,4.2,2023-10-21T11:30:00Z,29,11,0,0,0,0,9,0,21098,0,0,2,2.0,1,-7159,1460,8619,60,False,0,486385.0,Norberto Bercique,Gomes Betuncal,691.0,218.0,311.0,FWD,FWD,FWD,5.5,486385,0,1,0,2,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,1
352887,Abdoulaye Doucouré,MID,Everton,4.2,0,0,13,0,3.0,249,0.0,0.0,0.0,2.24,85,2,0,2.0,16.6,2023-10-21T11:30:00Z,90,11,0,0,0,0,9,0,90741,1,0,2,0.0,2,-8458,13465,21923,55,False,0,121599.0,Abdoulaye,Doucouré,249.0,217.0,0.0,MID,MID,MID,0.0,121599,0,0,4,1,4,0,9,2,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,13,0,4
209405,Virgil van Dijk,DEF,Liverpool,4.2,0,1,28,1,13.1,313,0.02,0.02,0.0,0.13,85,0,0,4.4,28.4,2023-10-21T11:30:00Z,90,9,0,0,0,0,9,0,741548,1,0,2,2.0,7,51610,71412,19802,60,True,0,97032.0,Virgil,van Dijk,313.0,339.0,373.0,DEF,DEF,DEF,6.0,97032,0,0,5,1,0,0,10,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,1,7
874025,Vitalii Mykolenko,DEF,Everton,2.8,0,0,15,0,0.2,260,0.0,0.0,0.0,1.64,85,1,0,2.0,20.0,2023-10-21T11:30:00Z,87,11,0,0,0,0,9,0,24477,1,0,2,0.0,2,4550,7571,3021,43,False,0,224967.0,Vitalii,Mykolenko,260.0,231.0,292.0,DEF,DEF,DEF,5.0,224967,0,0,2,3,3,2,10,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,15,0,4
319784,Alisson Ramses Becker,GK,Liverpool,4.8,0,2,29,1,10.0,291,0.0,0.0,0.0,0.13,85,0,0,2.7,17.2,2023-10-21T11:30:00Z,90,9,0,0,0,0,9,1,1139323,1,0,2,0.0,8,24894,55994,31100,55,True,0,116535.0,Alisson,Ramses Becker,291.0,310.0,366.0,GK,GK,GK,5.5,116535,0,0,1,0,0,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,30,2,8
671529,Konstantinos Tsimikas,DEF,Liverpool,2.5,0,0,21,1,22.2,311,0.18,0.18,0.0,0.1,85,0,0,2.9,4.4,2023-10-21T11:30:00Z,61,9,0,0,0,0,9,0,274628,1,0,2,2.0,6,260488,265612,5124,44,True,0,214285.0,Konstantinos,Tsimikas,311.0,337.0,377.0,DEF,DEF,DEF,5.0,214285,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,6
