fotmob_id,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,code,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,25_cost,opta_id,shots_on_target,fouls_won,clearances,tackles_won,interceptions,blocks,recoveries,tackles,tackles_lost,saves_inside_box,saves_outside_box,penalties_scored,games,abs_cleans_change,abs_goals_scored_change,abs_goals_conceded_change,abs_def_contribution_change,bps_cleans_change,bps_goals_scored_change,bps_goals_conceded_change,bps_fouls_won_change,bps_shot_on_target_change,bps_saves_change,bps_penalties_scored_change,new_bps,new_bonus,new_total_points
862608,Mitoma Kaoru,MID,Brighton,0.0,0,0,28,0,0.8,136,0.0,0.52,0.52,0.52,333,1,1,7.6,38.2,2025-04-26T14:00:00Z,28,0,0,0,0,0,0,0,False,19,0,0,0,0,34,0,905645,0,2,3,37.0,6,76211,95567,19356,64,True,0,451340.0,Kaoru,Mitoma,143.0,136.0,157.0,MID,MID,MID,6.5,451340,1,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,6
865931,Max Kilman,DEF,West Ham,0.0,0,0,6,0,12.7,524,0.12,0.12,0.0,1.31,333,3,0,4.2,24.8,2025-04-26T14:00:00Z,90,0,0,0,0,0,0,0,False,5,0,0,0,0,34,0,146659,1,2,3,4.0,1,-5342,2806,8148,43,False,0,214048.0,Max,Kilman,563.0,524.0,605.0,DEF,DEF,DEF,4.5,214048,0,0,11,0,1,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,6,0,3
267371,Emerson Palmieri dos Santos,DEF,West Ham,0.0,0,0,8,0,3.7,520,0.01,0.01,0.0,0.77,333,1,0,2.7,19.0,2025-04-26T14:00:00Z,85,0,0,0,0,0,0,0,False,5,0,0,0,0,34,0,69495,1,2,3,4.0,2,3809,5358,1549,44,False,0,109533.0,Emerson,Palmieri dos Santos,532.0,520.0,604.0,DEF,DEF,DEF,4.5,109533,0,0,6,0,1,1,2,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,8,0,4
1430151,Brajan Gruda,MID,Brighton,0.0,2,0,28,0,20.8,595,0.3,0.3,0.0,0.52,333,1,0,6.4,37.0,2025-04-26T14:00:00Z,8,0,0,0,0,0,0,0,False,19,0,0,0,0,34,0,3019,0,2,3,6.0,7,5,44,39,54,True,0,513433.0,Brajan,Gruda,0.0,595.0,162.0,0,MID,MID,5.5,513433,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,7
524437,Tomáš Souček,MID,West Ham,0.0,0,0,28,0,2.8,530,0.01,0.65,0.64,1.31,333,3,1,10.8,51.6,2025-04-26T14:00:00Z,90,0,0,0,0,0,0,0,False,5,0,0,0,0,34,0,156840,1,2,3,54.0,7,-3841,1418,5259,48,False,0,215439.0,Tomáš,Souček,542.0,530.0,613.0,MID,MID,MID,6.0,215439,2,1,1,1,3,1,2,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,7
210164,Alphonse Areola,GK,West Ham,0.0,0,0,10,0,0.0,513,0.0,0.0,0.0,1.31,333,3,0,4.3,42.6,2025-04-26T14:00:00Z,90,0,0,0,0,0,0,0,False,5,0,0,0,0,34,6,654622,1,2,3,0.0,3,3073,18293,15220,42,False,0,84182.0,Alphonse,Areola,524.0,513.0,600.0,GK,GK,GK,4.5,84182,0,0,2,0,0,0,5,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,3,0,13,0,3
1168311,Yasin Ayari,MID,Brighton,0.0,0,1,32,0,29.3,600,0.05,0.09,0.04,1.27,333,2,1,8.9,50.4,2025-04-26T14:00:00Z,90,0,0,0,0,0,0,0,False,19,0,0,0,0,34,0,3863,1,2,3,9.0,7,-27,72,99,50,True,1,509416.0,Yasin,Ayari,124.0,600.0,166.0,MID,MID,MID,5.0,509416,1,1,3,1,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,1,7
523825,Jarrod Bowen,MID,West Ham,0.0,2,2,33,0,51.8,514,0.86,0.94,0.08,1.31,333,3,0,11.0,41.2,2025-04-26T14:00:00Z,90,0,0,0,0,0,0,0,False,5,0,0,0,0,34,0,1117176,1,2,3,17.0,10,131224,162036,30812,76,False,0,178186.0,Jarrod,Bowen,526.0,514.0,624.0,MID,MID,FWD,8.0,178186,0,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,2,10
1352713,Carlos Baleba,MID,Brighton,0.0,0,3,48,0,2.6,115,0.01,0.03,0.02,1.27,333,2,1,6.9,57.2,2025-04-26T14:00:00Z,90,0,0,0,0,0,0,0,False,19,0,0,0,0,34,0,17188,1,2,3,9.0,10,-34,451,485,50,True,0,535301.0,Carlos,Baleba,690.0,115.0,167.0,MID,MID,MID,5.0,535301,1,1,6,4,1,1,9,4,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,48,3,12
1131987,Bart Verbruggen,GK,Brighton,0.0,0,0,3,0,0.0,146,0.0,0.0,0.0,1.27,333,2,0,2.1,21.2,2025-04-26T14:00:00Z,90,0,0,0,0,0,0,0,False,19,0,0,0,0,34,2,322853,1,2,3,0.0,1,378,11515,11137,46,True,0,489639.0,Bart,Verbruggen,152.0,146.0,139.0,GK,GK,GK,4.5,489639,0,0,1,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,5,0,1
