fotmob_id,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,code,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,25_cost,opta_id,shots_on_target,fouls_won,clearances,tackles_won,interceptions,blocks,recoveries,tackles,tackles_lost,saves_inside_box,saves_outside_box,penalties_scored,games,abs_cleans_change,abs_goals_scored_change,abs_goals_conceded_change,abs_def_contribution_change,bps_cleans_change,bps_goals_scored_change,bps_goals_conceded_change,bps_fouls_won_change,bps_shot_on_target_change,bps_saves_change,bps_penalties_scored_change,new_bps,new_bonus,new_total_points
1199272,Rasmus Højlund,FWD,Man Utd,3.0,0,0,-2,1,1.0,617,0.05,1.13,1.08,0.4,118,0,0,5.6,1.4,2023-11-11T15:00:00Z,78,12,0,0,0,0,12,0,616865,1,0,1,54.0,2,104768,139927,35159,71,True,0,497894.0,Rasmus,Højlund,617.0,375.0,465.0,FWD,FWD,FWD,6.5,497894,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2
1098780,Teden Mengi,DEF,Luton,0.7,0,0,15,0,0.3,393,0.0,0.02,0.02,2.12,118,1,0,2.9,21.2,2023-11-11T15:00:00Z,90,14,0,0,0,0,12,0,104593,1,0,1,7.0,2,7338,11653,4315,39,False,0,244856.0,Teden,Mengi,393.0,0.0,0.0,DEF,0,DEF,0.0,244856,1,0,5,3,1,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,17,0,2
157723,Christian Eriksen,MID,Man Utd,3.0,0,0,3,0,2.4,379,0.01,0.01,0.0,0.2,118,0,0,0.5,0.8,2023-11-11T15:00:00Z,39,12,0,0,0,0,12,0,53182,1,0,1,2.0,1,-334,1995,2329,59,True,0,80607.0,Christian,Eriksen,379.0,370.0,0.0,MID,MID,MID,0.0,80607,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1
498532,Pelly Ruddock Mpanzu,MID,Luton,-0.3,0,0,3,0,0.3,582,0.0,0.0,0.0,0.11,118,0,0,0.2,1.2,2023-11-11T15:00:00Z,4,14,0,0,0,0,12,0,3649,0,0,1,0.0,1,-162,59,221,48,False,0,104047.0,Pelly Ruddock,Mpanzu,582.0,0.0,0.0,MID,0,MID,0.0,104047,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1
131408,Thomas Kaminski,GK,Luton,1.7,0,0,14,0,0.0,614,0.0,0.0,0.0,2.12,118,1,0,2.7,26.8,2023-11-11T15:00:00Z,90,14,0,0,0,0,12,3,24822,1,0,1,0.0,3,1091,2217,1126,45,False,0,54738.0,Thomas,Kaminski,614.0,0.0,0.0,GK,0,GK,0.0,54738,0,0,2,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,17,0,3
873237,Elijah Adebayo,FWD,Luton,0.0,0,0,2,0,0.3,314,0.0,0.0,0.0,0.11,118,0,0,0.0,0.0,2023-11-11T15:00:00Z,3,14,0,0,0,0,12,0,68220,0,0,1,0.0,1,-1789,2925,4714,48,False,0,174310.0,Elijah,Adebayo,314.0,0.0,0.0,FWD,0,FWD,0.0,174310,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,1
789509,Gabriel Osho,DEF,Luton,0.3,0,0,10,0,1.3,330,0.0,0.0,0.0,2.12,118,1,0,2.0,16.8,2023-11-11T15:00:00Z,90,14,0,0,0,0,12,0,1188,1,0,1,2.0,2,97,148,51,44,False,0,199056.0,Gabriel,Osho,330.0,0.0,0.0,DEF,0,DEF,0.0,199056,0,0,7,0,2,1,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,10,0,4
259301,Jordan Clark,MID,Luton,-0.7,0,0,4,0,0.3,320,0.0,0.0,0.0,0.3,118,0,0,0.6,5.8,2023-11-11T15:00:00Z,17,14,0,0,0,0,12,0,493,0,0,1,0.0,1,11,34,23,48,False,0,96784.0,Jordan,Clark,320.0,0.0,0.0,MID,0,MID,0.0,96784,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1
750032,Mason Mount,MID,Man Utd,2.0,0,0,7,0,18.6,209,0.09,0.09,0.0,0.22,118,0,0,3.6,13.4,2023-11-11T15:00:00Z,50,12,0,0,0,0,12,0,95443,0,0,1,4.0,1,-1363,791,2154,68,True,0,184341.0,Mason,Mount,209.0,382.0,455.0,MID,MID,MID,6.0,184341,0,1,0,2,0,0,6,4,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,0,1
674009,Chiedozie Ogbene,FWD,Luton,1.0,0,0,11,0,22.1,328,0.05,0.07,0.02,2.01,118,1,0,5.3,13.4,2023-11-11T15:00:00Z,85,14,0,0,0,0,12,0,17877,1,0,1,17.0,2,2122,3162,1040,49,False,0,229164.0,Chiedozie,Ogbene,328.0,632.0,0.0,FWD,MID,FWD,0.0,229164,1,1,2,1,1,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,14,0,2
