fotmob_id,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,code,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,25_cost,opta_id,shots_on_target,fouls_won,clearances,tackles_won,interceptions,blocks,recoveries,tackles,tackles_lost,saves_inside_box,saves_outside_box,penalties_scored,games,abs_cleans_change,abs_goals_scored_change,abs_goals_conceded_change,abs_def_contribution_change,bps_cleans_change,bps_goals_scored_change,bps_goals_conceded_change,bps_fouls_won_change,bps_shot_on_target_change,bps_saves_change,bps_penalties_scored_change,new_bps,new_bonus,new_total_points
434325,Thomas Partey,MID,Arsenal,3.0,0,0,17,0,25.8,20,0.06,0.06,0.0,0.48,96,1,0,4.7,19.2,2024-11-02T12:30:00Z,85,False,15,0,0,0,0,10,0,120783,1,0,1,2.0,2,-7449,5048,12497,50,False,0,167199.0,Thomas,Partey,15.0,20.0,0.0,MID,MID,MID,0.0,167199,0,1,3,2,0,0,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,2
690107,Alexander Isak,FWD,Newcastle,4.7,0,3,36,1,4.6,401,0.04,0.33,0.29,1.05,96,0,1,6.9,36.6,2024-11-02T12:30:00Z,90,False,1,0,0,0,0,10,0,1347058,1,0,1,28.0,9,-5746,39325,45071,83,True,0,219168.0,Alexander,Isak,415.0,401.0,499.0,FWD,FWD,FWD,10.5,219168,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,3,9
820024,Sean Longstaff,MID,Newcastle,0.3,0,0,6,1,1.8,410,0.01,0.03,0.02,1.05,96,0,0,2.5,12.4,2024-11-02T12:30:00Z,90,False,1,0,0,0,0,10,0,54397,1,0,1,11.0,3,-2519,2924,5443,47,True,0,180135.0,Sean,Longstaff,421.0,410.0,493.0,MID,MID,MID,5.0,180135,0,1,0,3,1,0,3,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,3
1021586,Gabriel Martinelli Silva,MID,Arsenal,2.7,0,0,2,0,2.3,9,0.06,0.06,0.0,0.44,96,1,0,1.6,3.6,2024-11-02T12:30:00Z,60,False,15,0,0,0,0,10,0,419765,1,0,1,10.0,2,-7740,46051,53791,70,False,0,444145.0,Gabriel,Martinelli Silva,12.0,9.0,19.0,MID,MID,MID,7.0,444145,0,0,0,0,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2
574645,Mikel Merino,MID,Arsenal,4.7,0,0,6,0,6.0,633,0.13,0.5,0.37,0.44,96,1,0,2.1,6.0,2024-11-02T12:30:00Z,60,False,15,0,0,0,0,10,0,12580,1,0,1,9.0,1,8370,9402,1032,60,False,1,195384.0,Mikel,Merino,0.0,633.0,22.0,0,MID,MID,6.0,195384,1,1,2,1,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1
749736,Kai Havertz,FWD,Arsenal,2.7,0,0,4,0,11.8,4,0.42,0.42,0.0,0.53,96,1,0,2.1,5.6,2024-11-02T12:30:00Z,90,False,15,0,0,0,0,10,0,1625586,1,0,1,4.0,1,-158755,45811,204566,81,False,1,219847.0,Kai,Havertz,6.0,4.0,30.0,MID,FWD,FWD,7.5,219847,0,1,2,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1
318615,Leandro Trossard,MID,Arsenal,3.3,0,0,7,0,4.4,23,0.01,0.09,0.08,0.48,96,1,0,2.0,2.0,2024-11-02T12:30:00Z,70,False,15,0,0,0,0,10,0,256897,1,0,1,14.0,2,-17629,19343,36972,69,False,0,116216.0,Leandro,Trossard,26.0,23.0,20.0,MID,MID,MID,7.0,116216,0,2,2,1,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,2
189982,Fabian Schär,DEF,Newcastle,1.3,0,0,20,1,1.5,415,0.02,0.08,0.06,1.05,96,0,0,2.5,18.2,2024-11-02T12:30:00Z,90,False,1,0,0,0,0,10,0,115932,1,0,1,5.0,5,-292,8590,8882,54,True,1,119471.0,Fabian,Schär,427.0,415.0,474.0,DEF,DEF,DEF,5.5,119471,0,0,7,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,5
955406,William Saliba,DEF,Arsenal,0.7,0,0,19,0,2.7,18,0.24,0.24,0.0,0.53,96,1,0,2.4,18.8,2024-11-02T12:30:00Z,90,False,15,0,0,0,0,10,0,2445021,1,0,1,2.0,2,-74076,55502,129578,60,False,0,462424.0,William,Saliba,20.0,18.0,6.0,DEF,DEF,DEF,6.0,462424,0,2,3,3,1,0,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,2
906937,Anthony Gordon,MID,Newcastle,1.7,1,0,24,1,27.6,398,0.16,0.16,0.0,0.72,96,0,0,6.0,28.0,2024-11-02T12:30:00Z,84,False,1,0,0,0,0,10,0,892404,1,0,1,4.0,6,-135108,17578,152686,72,True,0,232826.0,Anthony,Gordon,412.0,398.0,485.0,MID,MID,MID,7.5,232826,0,1,1,2,1,0,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,6
961995,Bukayo Saka,MID,Arsenal,4.7,0,0,9,0,22.9,17,0.25,0.45,0.2,0.53,96,1,0,4.7,7.4,2024-11-02T12:30:00Z,90,False,15,0,0,0,0,10,0,2699785,1,0,1,17.0,2,284123,393216,109093,101,False,0,223340.0,Bukayo,Saka,19.0,17.0,16.0,MID,MID,MID,10.0,223340,0,6,1,1,0,0,4,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,2
280484,Nick Pope,GK,Newcastle,2.3,0,0,19,1,0.0,413,0.0,0.0,0.0,1.05,96,0,0,0.0,0.0,2024-11-02T12:30:00Z,90,False,1,0,0,0,0,10,0,714431,1,0,1,0.0,5,-22317,8265,30582,50,True,1,98747.0,Nick,Pope,424.0,413.0,469.0,GK,GK,GK,5.0,98747,0,0,4,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,5
282775,Jorge Luiz Frello Filho,MID,Arsenal,1.0,0,0,-1,0,0.3,7,0.01,0.01,0.0,0.04,96,0,0,0.0,0.0,2024-11-02T12:30:00Z,4,False,15,0,0,0,0,10,0,26406,0,0,1,0.0,0,-724,784,1508,48,False,1,85955.0,Jorge Luiz,Frello Filho,9.0,7.0,0.0,MID,MID,MID,0.0,85955,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
