fotmob_id,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,code,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,25_cost,opta_id,shots_on_target,fouls_won,clearances,tackles_won,interceptions,blocks,recoveries,tackles,tackles_lost,saves_inside_box,saves_outside_box,penalties_scored,games,abs_cleans_change,abs_goals_scored_change,abs_goals_conceded_change,abs_def_contribution_change,bps_cleans_change,bps_goals_scored_change,bps_goals_conceded_change,bps_fouls_won_change,bps_shot_on_target_change,bps_saves_change,bps_penalties_scored_change,new_bps,new_bonus,new_total_points
1096353,Cole Palmer,MID,Chelsea,2.5,0,0,9,1,24.7,182,0.17,1.22,1.05,0.06,273,0,0,7.4,12.4,2025-03-09T14:00:00Z,72,0,0,0,0,0,0,0,False,11,0,1,0,0,28,0,6715374,1,0,1,37.0,1,-223771,56774,280545,110,True,0,244851.0,Cole,Palmer,362.0,182.0,235.0,MID,MID,MID,10.5,244851,1,0,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,1
882401,Boubakary Soumaré,MID,Leicester,1.5,0,0,13,0,2.8,285,0.0,0.0,0.0,1.41,273,1,0,1.4,11.6,2025-03-09T14:00:00Z,65,0,0,0,0,0,0,0,False,6,0,0,0,0,28,0,41152,1,0,1,0.0,2,-1524,773,2297,44,False,0,225902.0,Boubakary,Soumaré,0.0,285.0,0.0,0,MID,MID,0.0,225902,0,0,2,0,1,1,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,2
247761,Conor Coady,DEF,Leicester,0.3,0,0,14,0,1.3,288,0.01,0.01,0.0,1.78,273,1,0,3.4,32.6,2025-03-09T14:00:00Z,90,0,0,0,0,0,0,0,False,6,0,0,0,0,28,0,38024,1,0,1,0.0,2,-968,363,1331,40,False,0,94147.0,Conor,Coady,0.0,288.0,0.0,0,DEF,DEF,0.0,94147,0,0,6,2,0,2,4,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,14,0,4
916332,Luke Thomas,DEF,Leicester,0.3,0,0,13,0,1.1,305,0.0,0.0,0.0,1.78,273,1,0,3.2,31.0,2025-03-09T14:00:00Z,90,0,0,0,0,0,0,0,False,6,0,0,0,0,28,0,187624,1,0,1,0.0,2,-4339,606,4945,39,False,0,244619.0,Luke,Thomas,693.0,305.0,0.0,DEF,DEF,DEF,0.0,244619,0,1,7,3,1,2,3,4,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,13,0,4
1137668,Moisés Caicedo Corozo,MID,Chelsea,2.5,0,1,27,1,18.9,157,0.41,0.46,0.05,0.1,273,0,0,4.8,22.4,2025-03-09T14:00:00Z,90,0,0,0,0,0,0,0,False,11,0,0,0,0,28,0,116611,1,0,1,7.0,4,-2325,2012,4337,49,True,0,486672.0,Moisés,Caicedo Corozo,126.0,157.0,241.0,MID,MID,MID,5.5,486672,1,4,0,3,3,0,8,4,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,27,0,5
793907,Trevoh Chalobah,DEF,Chelsea,1.3,0,0,2,0,0.1,159,0.0,0.0,0.0,0.04,273,0,0,0.0,0.2,2025-03-09T14:00:00Z,17,0,0,0,0,0,0,0,False,11,0,0,0,0,28,0,91344,0,0,1,0.0,1,-16808,1274,18082,44,True,0,180736.0,Trevoh,Chalobah,194.0,159.0,226.0,DEF,DEF,DEF,5.0,180736,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
1424875,Tyrique George,MID,Chelsea,2.0,0,0,4,0,10.5,696,0.02,0.02,0.0,0.04,273,0,0,1.9,4.4,2025-03-09T14:00:00Z,17,0,0,0,0,0,0,0,False,11,0,0,0,0,28,0,1322,0,0,1,4.0,1,335,428,93,45,True,0,550615.0,Tyrique,George,851.0,696.0,243.0,FWD,MID,MID,5.0,550615,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1
1336566,Facundo Buonanotte,MID,Leicester,0.5,0,0,0,0,4.2,117,0.01,0.01,0.0,0.25,273,0,0,0.8,3.4,2025-03-09T14:00:00Z,17,0,0,0,0,0,0,0,False,6,0,0,0,0,28,0,57185,0,0,1,0.0,1,-2404,686,3090,46,False,0,536916.0,Facundo,Buonanotte,125.0,117.0,168.0,MID,MID,MID,5.0,536916,0,0,1,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
967941,Mads Hermansen,GK,Leicester,3.0,0,1,27,0,0.0,293,0.0,0.0,0.0,1.78,273,1,0,7.2,71.8,2025-03-09T14:00:00Z,90,0,0,0,0,0,0,0,False,6,0,0,1,0,28,7,44695,1,0,1,0.0,10,-488,440,928,44,False,0,467189.0,Mads,Hermansen,0.0,293.0,0.0,0,GK,GK,0.0,467189,0,0,0,0,0,0,8,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,5,0,32,2,11
846381,Jadon Sancho,MID,Chelsea,2.7,0,0,14,1,36.6,386,0.11,0.17,0.06,0.1,273,0,0,7.7,12.4,2025-03-09T14:00:00Z,90,0,0,0,0,0,0,0,False,11,0,0,0,0,28,0,112268,1,0,1,28.0,3,-3296,2256,5552,62,True,0,209243.0,Jadon,Sancho,397.0,386.0,456.0,MID,MID,MID,6.0,209243,0,1,1,0,0,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,3
