fotmob_id,name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,code,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,25_cost,opta_id,shots_on_target,fouls_won,clearances,tackles_won,interceptions,blocks,recoveries,tackles,tackles_lost,saves_inside_box,saves_outside_box,penalties_scored,games,abs_cleans_change,abs_goals_scored_change,abs_goals_conceded_change,abs_def_contribution_change,bps_cleans_change,bps_goals_scored_change,bps_goals_conceded_change,bps_fouls_won_change,bps_shot_on_target_change,bps_saves_change,bps_penalties_scored_change,new_bps,new_bonus,new_total_points
214570,Jeffrey Schlupp,MID,Crystal Palace,1.0,0,0,6,0,14.3,214,0.05,0.05,0.0,0.0,43,0,0,2.4,5.2,2024-09-21T16:30:00Z,1,False,14,0,0,0,0,5,0,8355,0,0,0,4.0,1,-673,224,897,49,True,0,86417.0,Jeffrey,Schlupp,240.0,214.0,0.0,MID,MID,MID,0.0,86417,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1
466672,Jefferson Lerma Solís,MID,Crystal Palace,0.8,0,0,2,0,13.2,206,0.0,0.03,0.03,0.28,43,0,0,1.8,0.8,2024-09-21T16:30:00Z,45,False,14,0,0,0,0,5,0,5813,0,0,0,4.0,1,-384,175,559,49,True,0,152551.0,Jefferson,Lerma Solís,231.0,206.0,272.0,MID,MID,MID,5.0,152551,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
422685,Bruno Borges Fernandes,MID,Man Utd,3.3,0,0,12,1,40.0,366,0.14,0.5,0.36,1.01,43,0,0,6.9,13.8,2024-09-21T16:30:00Z,90,False,7,0,0,0,0,5,0,1139395,1,0,0,15.0,3,-54870,38752,93622,83,False,0,141746.0,Bruno,Borges Fernandes,373.0,366.0,449.0,MID,MID,MID,9.0,141746,0,1,1,3,1,0,6,4,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,12,0,5
1199272,Rasmus Højlund,FWD,Man Utd,0.2,0,0,3,0,0.5,375,0.01,0.01,0.0,0.14,43,0,0,0.5,0.0,2024-09-21T16:30:00Z,14,False,7,0,0,0,0,5,0,35760,0,0,0,4.0,1,-554,2004,2558,69,False,0,497894.0,Rasmus,Højlund,617.0,375.0,465.0,FWD,FWD,FWD,6.5,497894,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1
847983,Lisandro Martínez,DEF,Man Utd,3.7,0,0,18,1,1.0,380,0.01,0.22,0.21,1.01,43,0,0,5.4,20.4,2024-09-21T16:30:00Z,90,False,7,0,0,0,0,5,0,519779,1,0,0,33.0,5,-18924,11003,29927,45,False,1,221820.0,Lisandro,Martínez,391.0,380.0,437.0,DEF,DEF,DEF,5.0,221820,1,0,0,0,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,5
157723,Christian Eriksen,MID,Man Utd,2.0,0,0,14,1,46.1,370,0.35,0.35,0.0,0.87,43,0,0,6.2,11.6,2024-09-21T16:30:00Z,75,False,7,0,0,0,0,5,0,17385,1,0,0,4.0,3,404,1403,999,54,False,0,80607.0,Christian,Eriksen,379.0,370.0,0.0,MID,MID,MID,0.0,80607,0,0,0,0,1,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,3
771294,Ismaïla Sarr,MID,Crystal Palace,1.8,0,0,8,0,11.8,585,0.12,0.43,0.31,0.28,43,0,0,6.8,9.4,2024-09-21T16:30:00Z,45,False,14,0,0,0,0,5,0,21206,0,0,0,47.0,1,-633,1432,2065,59,True,0,232185.0,Ismaïla,Sarr,0.0,585.0,267.0,0,MID,MID,6.5,232185,1,2,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,1
1035614,Manuel Ugarte,MID,Man Utd,1.0,0,0,1,0,2.6,652,0.0,0.0,0.0,0.14,43,0,0,0.6,3.8,2024-09-21T16:30:00Z,14,False,7,0,0,0,0,5,0,10577,0,0,0,0.0,1,2389,3910,1521,50,False,0,232112.0,Manuel,Ugarte,0.0,652.0,459.0,0,MID,MID,5.0,232112,0,1,0,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1120224,Tyrick Mitchell,DEF,Crystal Palace,3.2,0,0,27,1,19.5,210,0.08,0.08,0.0,1.7,43,0,0,4.6,24.4,2024-09-21T16:30:00Z,90,False,14,0,0,0,0,5,0,175982,1,0,0,2.0,6,-7755,5507,13262,49,True,0,244723.0,Tyrick,Mitchell,234.0,210.0,258.0,DEF,DEF,DEF,5.0,244723,0,0,2,2,1,1,6,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,0,6
775539,Noussair Mazraoui,DEF,Man Utd,4.3,0,0,25,1,3.3,594,0.07,0.07,0.0,1.01,43,0,0,2.3,19.6,2024-09-21T16:30:00Z,90,False,7,0,0,0,0,5,0,1542687,1,0,0,0.0,6,76122,140892,64770,46,False,0,230001.0,Noussair,Mazraoui,0.0,594.0,438.0,0,DEF,DEF,5.0,230001,0,1,5,2,1,0,7,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,6
950829,Chris Richards,DEF,Crystal Palace,2.2,0,0,23,1,0.3,194,0.0,0.0,0.0,1.7,43,0,0,2.2,21.2,2024-09-21T16:30:00Z,90,False,14,0,0,0,0,5,0,17577,1,0,0,0.0,6,-1262,312,1574,45,True,0,427623.0,Chris,Richards,238.0,194.0,261.0,DEF,DEF,DEF,4.5,427623,0,0,5,2,2,0,3,5,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,23,0,8
950830,Joshua Zirkzee,FWD,Man Utd,1.7,0,0,11,1,28.6,389,0.22,0.32,0.1,0.17,43,0,0,4.5,5.2,2024-09-21T16:30:00Z,60,False,7,0,0,0,0,5,0,370580,1,0,0,11.0,2,-26804,31735,58539,70,False,0,458249.0,Joshua,Zirkzee,0.0,389.0,466.0,0,FWD,FWD,6.0,458249,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,2
1296650,Adam Wharton,MID,Crystal Palace,1.8,0,0,3,0,0.6,216,0.0,0.0,0.0,1.42,43,0,0,0.1,0.6,2024-09-21T16:30:00Z,45,False,14,0,0,0,0,5,0,38461,1,0,0,0.0,1,-167,3498,3665,49,True,0,496221.0,Adam,Wharton,807.0,216.0,273.0,MID,MID,MID,5.0,496221,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1
611491,André Onana,GK,Man Utd,7.7,0,2,32,1,0.0,383,0.0,0.0,0.0,1.01,43,0,0,3.4,34.0,2024-09-21T16:30:00Z,90,False,7,0,0,0,0,5,4,569878,1,0,0,0.0,9,38207,59694,21487,50,False,0,202641.0,André,Onana,597.0,383.0,432.0,GK,GK,GK,5.0,202641,0,0,1,0,0,0,7,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,3,0,35,2,9
769895,Matthijs de Ligt,DEF,Man Utd,7.0,0,0,29,1,0.5,593,0.0,0.54,0.54,1.01,43,0,0,12.1,21.2,2024-09-21T16:30:00Z,90,False,7,0,0,0,0,5,0,449909,1,0,0,99.0,6,100650,112658,12008,50,False,0,209365.0,Matthijs,de Ligt,0.0,593.0,436.0,0,DEF,DEF,5.0,209365,3,1,2,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,0,6
751550,Diogo Dalot Teixeira,DEF,Man Utd,7.0,0,3,35,1,35.8,369,0.23,0.23,0.0,1.01,43,0,0,6.0,22.6,2024-09-21T16:30:00Z,90,False,7,0,0,0,0,5,0,878999,1,0,0,2.0,9,72324,104530,32206,50,False,0,216051.0,Diogo,Dalot Teixeira,377.0,369.0,440.0,DEF,DEF,DEF,4.5,216051,0,0,2,1,1,0,8,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,2,8
1203665,Alejandro Garnacho,MID,Man Utd,3.3,0,0,-4,1,2.7,372,0.01,0.48,0.47,1.01,43,0,0,4.4,5.6,2024-09-21T16:30:00Z,90,False,7,0,0,0,0,5,0,1117258,1,0,0,36.0,2,5617,73760,68143,64,False,1,493105.0,Alejandro,Garnacho,382.0,372.0,453.0,MID,MID,MID,6.5,493105,2,0,1,1,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-4,0,2
719330,Dean Henderson,GK,Crystal Palace,3.8,0,2,32,1,0.0,201,0.0,0.0,0.0,1.7,43,0,0,5.2,52.2,2024-09-21T16:30:00Z,90,False,14,0,0,0,0,5,7,1372393,1,0,0,0.0,9,-104930,12221,117151,45,True,1,172649.0,Dean,Henderson,385.0,201.0,253.0,GK,GK,GK,5.0,172649,0,0,1,0,0,0,11,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,5,0,37,3,10
950485,Maxence Lacroix,DEF,Crystal Palace,3.0,0,0,18,1,0.2,650,0.0,0.02,0.02,1.7,43,0,0,1.5,10.8,2024-09-21T16:30:00Z,90,False,14,0,0,0,0,5,0,3387,1,0,0,4.0,5,400,739,339,45,True,1,437499.0,Maxence,Lacroix,0.0,650.0,257.0,0,DEF,DEF,5.0,437499,0,0,6,0,2,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,5
621515,Daichi Kamada,MID,Crystal Palace,1.8,0,0,11,1,1.4,205,0.02,0.02,0.0,1.7,43,0,0,1.7,15.4,2024-09-21T16:30:00Z,90,False,14,0,0,0,0,5,0,23698,1,0,0,0.0,3,-5812,453,6265,53,True,0,209400.0,Daichi,Kamada,0.0,205.0,271.0,0,MID,MID,5.0,209400,0,4,1,2,1,1,5,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,3
696365,Marcus Rashford,MID,Man Utd,3.7,0,0,4,0,1.7,385,0.05,0.05,0.0,0.84,43,0,0,0.4,2.2,2024-09-21T16:30:00Z,29,False,7,0,0,0,0,5,0,405441,0,0,0,0.0,1,101097,118652,17555,69,False,0,176297.0,Marcus,Rashford,396.0,385.0,451.0,MID,MID,MID,7.0,176297,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1
859282,Daniel Muñoz,DEF,Crystal Palace,2.2,0,0,23,1,15.3,211,0.01,0.01,0.0,1.7,43,0,0,3.3,18.0,2024-09-21T16:30:00Z,90,False,14,0,0,0,0,5,0,308579,1,0,0,0.0,6,-42732,3003,45735,49,True,0,247348.0,Daniel,Muñoz,792.0,211.0,256.0,DEF,DEF,DEF,5.5,247348,0,0,5,1,1,0,4,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,6
844425,Marc Guéhi,DEF,Crystal Palace,2.5,0,0,25,1,0.0,200,0.0,0.0,0.0,1.7,43,0,0,2.2,21.6,2024-09-21T16:30:00Z,90,False,14,0,0,0,0,5,0,568415,1,0,0,0.0,6,-33628,7938,41566,45,True,0,209036.0,Marc,Guéhi,228.0,200.0,260.0,DEF,DEF,DEF,4.5,209036,0,0,6,0,2,1,5,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,25,0,8
706297,Jean-Philippe Mateta,FWD,Crystal Palace,4.5,0,0,3,0,10.4,207,0.0,0.0,0.0,1.42,43,0,0,1.4,2.0,2024-09-21T16:30:00Z,45,False,14,0,0,0,0,5,0,495230,1,0,0,2.0,1,73760,108577,34817,74,True,0,231747.0,Jean-Philippe,Mateta,232.0,207.0,283.0,FWD,FWD,FWD,7.5,231747,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1
860920,Eddie Nketiah,FWD,Crystal Palace,1.0,0,0,9,1,1.0,11,0.01,0.16,0.15,1.63,43,0,0,1.9,6.8,2024-09-21T16:30:00Z,65,False,14,0,0,0,0,5,0,105775,1,0,0,11.0,2,18846,29860,11014,59,True,0,205533.0,Eddie,Nketiah,13.0,11.0,284.0,FWD,FWD,FWD,5.5,205533,1,1,0,1,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,2
1070052,Amad Diallo,MID,Man Utd,3.3,0,0,7,1,30.2,364,0.11,0.16,0.05,0.87,43,0,0,6.0,6.0,2024-09-21T16:30:00Z,75,False,7,0,0,0,0,5,0,519075,1,0,0,24.0,3,84837,112715,27878,50,False,0,493250.0,Amad,Diallo,371.0,364.0,452.0,MID,MID,MID,6.5,493250,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,3
818975,Eberechi Eze,MID,Crystal Palace,4.2,0,0,8,1,32.1,199,0.13,0.63,0.5,1.7,43,0,0,6.6,11.2,2024-09-21T16:30:00Z,90,False,14,0,0,0,0,5,0,2536985,1,0,0,23.0,3,-159290,74889,234179,69,True,0,232413.0,Eberechi,Eze,226.0,199.0,266.0,MID,MID,MID,7.5,232413,1,3,1,2,2,0,7,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,8,0,5
1292810,Kobbie Mainoo,MID,Man Utd,2.0,0,0,13,1,4.7,378,0.14,0.18,0.04,1.01,43,0,0,1.6,5.2,2024-09-21T16:30:00Z,90,False,7,0,0,0,0,5,0,439743,1,0,0,6.0,3,-37502,10872,48374,54,False,0,516895.0,Kobbie,Mainoo,388.0,378.0,458.0,MID,MID,MID,5.0,516895,0,1,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,3
295067,Will Hughes,MID,Crystal Palace,0.2,0,0,-1,0,0.4,203,0.0,0.03,0.03,0.06,43,0,0,2.0,2.6,2024-09-21T16:30:00Z,24,False,14,0,0,0,0,5,0,4071,0,0,0,17.0,0,-202,138,340,49,True,1,108413.0,Will,Hughes,229.0,203.0,270.0,MID,MID,MID,5.0,108413,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
