fotmob_id,name,position,team,xP,assists,bonus,bps,clean_sheets,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,minutes,modified,own_goals,penalties_missed,penalties_saved,red_cards,saves,starts,total_points,yellow_cards,fpl_id,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,25_cost,opta_id,shots_on_target,fouls_won,clearances,tackles_won,interceptions,blocks,recoveries,tackles,tackles_lost,saves_inside_box,saves_outside_box,penalties_scored,games,abs_cleans_change,abs_goals_scored_change,abs_goals_conceded_change,abs_def_contribution_change,bps_cleans_change,bps_goals_scored_change,bps_goals_conceded_change,bps_fouls_won_change,bps_shot_on_target_change,bps_saves_change,bps_penalties_scored_change,new_bps,new_bonus,new_total_points,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,value,PPM,PPMPM,new_value,new_PPM,new_PPMPM,total_points_change,bps_change,bonus_change,position_changed
620026,Hwang Hee-chan,MID,Wolves,21.6,1,0,130,0,0.35,1.14,0.79,12.57,19,2,646,0,0,0,0,0,0,5,37,0,184754.0,Hwang,Hee-chan,557.0,550.0,642.0,MID,MID,MID,6.0,184754.0,3.0,9.0,10.0,4.0,2.0,0.0,28.0,6.0,2.0,0.0,0.0,0.0,21,0,0,0,0,0,0,0,0,0,0.0,0.0,130.0,0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.762,0.286,6,1.762,0.286,0,0.0,0,False
620618,Rodrigo Bentancur,MID,Spurs,34.9,0,1,293,3,1.02,2.38,1.36,26.87,26,2,1640,0,0,0,0,0,0,21,49,9,202993.0,Rodrigo,Bentancur,492.0,480.0,585.0,MID,MID,MID,5.5,202993.0,6.0,10.0,37.0,22.0,40.0,8.0,121.0,40.0,18.0,0.0,0.0,0.0,26,0,0,0,22,0,0,0,0,0,0.0,0.0,293.0,1,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1.885,0.308,12,2.731,0.462,22,0.0,0,False
621515,Daichi Kamada,MID,Crystal Palace,37.1,0,0,246,3,1.55,2.67,1.12,25.74,27,0,1545,0,0,0,0,1,0,15,45,4,209400.0,Daichi,Kamada,0.0,205.0,271.0,0,MID,MID,5.0,209400.0,4.0,21.0,14.0,29.0,18.0,5.0,89.0,47.0,18.0,0.0,0.0,0.0,34,0,0,0,2,0,0,0,0,0,0.0,0.0,246.0,0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1.324,0.265,9,1.382,0.265,2,0.0,0,False
623621,Oleksandr Zinchenko,DEF,Arsenal,38.1,1,2,141,4,0.52,1.17,0.65,3.21,1,0,518,0,0,0,0,0,0,5,40,1,206325.0,Oleksandr,Zinchenko,31.0,25.0,12.0,DEF,DEF,DEF,5.0,206325.0,0.0,3.0,9.0,1.0,5.0,1.0,19.0,6.0,5.0,0.0,0.0,0.0,15,0,0,0,0,0,0,0,0,0,0.0,0.0,141.0,2,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2.667,0.533,8,2.667,0.533,0,0.0,0,False
637746,Odsonne Edouard,FWD,Crystal Palace Leicester,3.3,0,0,14,0,0.07,0.46,0.39,3.72,3,0,141,0,0,0,0,0,0,1,7,0,199670.0,Odsonne,Edouard,225.0,198.0,285.0,FWD,FWD,FWD,5.0,199670.0,1.0,0.0,2.0,1.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0,0.0,0.0,14.0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.167,0.167,1,1.167,0.167,0,0.0,0,False
643228,Alex Palmer,GK,Ipswich,15.6,0,0,94,0,0.0,0.0,0.0,24.64,30,0,1170,0,0,0,0,0,45,13,22,2,112520.0,Alex,Palmer,0.0,764.0,0.0,0,GK,GK,0.0,112520.0,0.0,4.0,21.0,0.0,0.0,0.0,119.0,0.0,0.0,30.0,15.0,0.0,13,0,0,0,0,0,0,0,0,0,30.0,0.0,124.0,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.692,0.0,0,1.692,0.0,0,30.0,0,False
643717,Taiwo Awoniyi,FWD,Nott'm Forest,23.6,0,0,89,1,0.12,2.27,2.15,6.65,10,1,398,0,0,0,0,0,0,3,32,0,210156.0,Taiwo,Awoniyi,437.0,424.0,527.0,FWD,FWD,FWD,5.5,210156.0,4.0,10.0,7.0,3.0,0.0,0.0,18.0,6.0,3.0,0.0,0.0,0.0,26,0,0,0,0,0,0,0,0,0,0.0,0.0,89.0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.231,0.192,5,1.231,0.192,0,0.0,0,False
644459,Patson Daka,FWD,Leicester,21.3,0,2,108,1,0.06,1.31,1.25,17.37,16,1,717,0,0,0,0,0,0,6,34,0,245419.0,Patson,Daka,0.0,289.0,0.0,0,FWD,FWD,0.0,245419.0,4.0,19.0,11.0,10.0,1.0,1.0,18.0,19.0,9.0,0.0,0.0,0.0,23,0,0,0,0,0,0,0,0,0,0.0,0.0,108.0,2,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.478,0.0,0,1.478,0.0,0,0.0,0,False
650616,Mathias Jensen,MID,Brentford,25.3,2,1,179,2,1.75,1.98,0.23,16.41,17,0,846,0,0,0,0,0,0,8,38,2,207283.0,Mathias,Jensen,106.0,95.0,126.0,MID,MID,MID,5.0,207283.0,1.0,10.0,13.0,10.0,8.0,4.0,48.0,14.0,4.0,0.0,0.0,0.0,24,0,0,0,0,0,0,0,0,0,0.0,0.0,179.0,1,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.583,0.292,7,1.583,0.292,0,0.0,0,False
654096,Declan Rice,MID,Arsenal,137.0,7,17,627,11,5.64,9.14,3.51,27.13,29,4,2823,0,0,0,0,1,0,33,127,5,204480.0,Declan,Rice,540.0,16.0,21.0,MID,MID,MID,6.5,204480.0,15.0,16.0,50.0,25.0,25.0,13.0,156.0,53.0,28.0,0.0,0.0,0.0,35,0,0,0,18,0,0,0,0,0,0.0,0.0,627.0,20,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,3.629,0.543,22,4.229,0.629,21,0.0,3,False
