fotmob_id,name,position,team,xP,assists,bonus,bps,clean_sheets,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,starts,total_points,yellow_cards,fpl_id,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,25_cost,opta_id,shots_on_target,fouls_won,clearances,tackles_won,interceptions,blocks,recoveries,tackles,tackles_lost,saves_inside_box,saves_outside_box,penalties_scored,games,abs_cleans_change,abs_goals_scored_change,abs_goals_conceded_change,abs_def_contribution_change,bps_cleans_change,bps_goals_scored_change,bps_goals_conceded_change,bps_fouls_won_change,bps_shot_on_target_change,bps_saves_change,bps_penalties_scored_change,new_bps,new_bonus,new_total_points,value,PPM,PPMPM,new_value,new_PPM,new_PPMPM,total_points_change,bps_change,bonus_change,position_changed
263653,John Stones,DEF,Man City,46.6,0,3,239,5,0.4,1.46,1.06,12.27,9,1,1061,0,0,0,0,0,12,53,2,97299.0,John,Stones,368.0,362.0,409.0,DEF,DEF,DEF,5.5,97299.0,2.0,5.0,20.0,1.0,10.0,7.0,46.0,2.0,1.0,0.0,0.0,0.0,16,0,0,0,0,0,0,0,5.0,4.0,0.0,0.0,248.0,3,53,9.636,3.312,0.602,9.636,3.312,0.602,0,9.0,0,False
266520,Christian Nørgaard,MID,Brentford,66.7,1,3,414,6,2.44,6.05,3.61,43.31,51,2,2504,0,0,0,0,0,30,74,8,128295.0,Christian,Nørgaard,110.0,101.0,24.0,MID,MID,MID,5.5,128295.0,7.0,32.0,49.0,50.0,54.0,6.0,216.0,81.0,31.0,0.0,0.0,0.0,31,0,0,0,42,0,0,0,32.0,14.0,0.0,0.0,460.0,4,117,13.455,2.387,0.434,21.273,3.774,0.686,43,46.0,1,False
266523,Pierre-Emile Højbjerg,MID,Spurs,44.7,0,0,239,1,1.57,2.24,0.68,26.52,28,0,1289,1,0,0,0,0,8,39,4,132015.0,Pierre-Emile,Højbjerg,499.0,490.0,0.0,MID,MID,MID,0.0,132015.0,6.0,17.0,27.0,18.0,19.0,7.0,121.0,32.0,14.0,0.0,0.0,0.0,36,0,0,0,8,0,0,0,17.0,12.0,0.0,0.0,268.0,0,47,0.0,1.083,0.0,0.0,1.306,0.0,8,29.0,0,False
267371,Emerson Palmieri dos Santos,DEF,West Ham,61.5,4,8,519,5,2.07,3.71,1.64,68.08,67,1,3138,1,0,0,0,0,35,82,10,109533.0,Emerson,Palmieri dos Santos,532.0,520.0,604.0,DEF,DEF,DEF,4.5,109533.0,4.0,33.0,88.0,68.0,43.0,15.0,142.0,106.0,38.0,0.0,0.0,0.0,36,0,0,0,10,0,0,0,33.0,8.0,0.0,0.0,560.0,5,89,18.222,2.278,0.506,19.778,2.472,0.549,7,41.0,-3,False
268212,Felipe Augusto de Almeida Monteiro,DEF,Nott'm Forest,2.2,0,0,62,1,0.03,0.15,0.12,6.39,10,0,372,0,0,0,0,0,4,8,3,116404.0,Felipe Augusto,de Almeida Monteiro,445.0,0.0,0.0,DEF,0,DEF,0.0,116404.0,0.0,2.0,11.0,9.0,4.0,1.0,20.0,12.0,3.0,0.0,0.0,0.0,7,0,0,0,2,0,0,0,2.0,0.0,0.0,0.0,64.0,0,10,0.0,1.143,0.0,0.0,1.429,0.0,2,2.0,0,False
268375,Emiliano Martínez Romero,GK,Aston Villa,108.9,0,19,640,8,0.01,0.01,0.0,49.87,48,0,3015,2,0,0,0,95,34,115,4,98980.0,Emiliano,Martínez Romero,49.0,47.0,32.0,GK,GK,GK,5.0,98980.0,0.0,7.0,16.0,0.0,0.0,0.0,317.0,0.0,0.0,68.0,27.0,0.0,34,0,0,0,0,0,0,0,7.0,0.0,68.0,0.0,715.0,20,116,23.0,3.382,0.676,23.2,3.412,0.682,1,75.0,1,False
276121,Ben Davies,DEF,Spurs,20.0,2,0,216,1,0.57,2.91,2.34,22.43,21,1,1085,0,0,0,0,0,12,34,2,115556.0,Ben,Davies,495.0,484.0,571.0,DEF,DEF,DEF,4.5,115556.0,2.0,19.0,35.0,17.0,10.0,15.0,53.0,24.0,7.0,0.0,0.0,0.0,17,0,0,0,2,0,0,0,19.0,4.0,0.0,0.0,239.0,0,36,7.556,2.0,0.444,8.0,2.118,0.471,2,23.0,0,False
276729,Stefan Ortega Moreno,GK,Man City,22.1,0,2,114,1,0.0,0.0,0.0,7.17,7,0,632,0,0,0,0,20,5,22,0,88248.0,Stefan,Ortega Moreno,361.0,358.0,400.0,GK,GK,GK,5.0,88248.0,0.0,1.0,3.0,0.0,0.0,0.0,50.0,0.0,0.0,15.0,5.0,0.0,9,0,0,0,0,0,0,0,1.0,0.0,15.0,0.0,130.0,2,22,4.4,2.444,0.489,4.4,2.444,0.489,0,16.0,0,False
279489,Jamaal Lascelles,DEF,Newcastle,49.8,0,3,212,5,0.12,0.86,0.74,18.08,15,1,1077,0,0,0,0,0,13,46,4,101148.0,Jamaal,Lascelles,419.0,407.0,480.0,DEF,DEF,DEF,4.5,101148.0,1.0,2.0,42.0,9.0,5.0,12.0,53.0,14.0,5.0,0.0,0.0,0.0,16,0,0,0,4,0,0,0,2.0,2.0,0.0,0.0,216.0,2,49,10.222,2.875,0.639,10.889,3.062,0.681,3,4.0,-1,False
279490,James Ward-Prowse,MID,West Ham,143.6,7,19,708,5,6.3,12.53,6.23,63.29,65,7,3000,0,0,0,0,0,34,146,4,101178.0,James,Ward-Prowse,664.0,531.0,614.0,MID,MID,MID,6.0,101178.0,18.0,20.0,44.0,29.0,38.0,9.0,145.0,45.0,16.0,0.0,0.0,2.0,37,0,0,0,8,0,0,0,20.0,36.0,0.0,-12.0,752.0,16,151,24.333,3.946,0.658,25.167,4.081,0.68,5,44.0,-3,False
280287,Sam Johnstone,GK,Crystal Palace,64.4,0,7,310,6,0.0,0.0,0.0,27.17,27,0,1796,0,0,0,0,41,20,68,1,101982.0,Sam,Johnstone,230.0,204.0,627.0,GK,GK,GK,4.5,101982.0,0.0,0.0,13.0,0.0,1.0,0.0,131.0,1.0,1.0,26.0,15.0,0.0,20,0,0,0,0,0,0,0,0.0,0.0,26.0,0.0,336.0,9,70,15.111,3.4,0.756,15.556,3.5,0.778,2,26.0,2,False
280484,Nick Pope,GK,Newcastle,60.4,0,1,279,6,0.0,0.02,0.02,15.92,16,0,1345,0,0,0,0,43,15,57,1,98747.0,Nick,Pope,424.0,413.0,469.0,GK,GK,GK,5.0,98747.0,0.0,3.0,17.0,0.0,0.0,0.0,117.0,0.0,0.0,30.0,13.0,0.0,15,0,0,0,0,0,0,0,3.0,0.0,30.0,0.0,312.0,3,59,11.4,3.8,0.76,11.8,3.933,0.787,2,33.0,2,False
281207,Kurt Zouma,DEF,West Ham,59.4,0,6,444,3,0.07,1.97,1.9,59.8,63,3,2838,0,0,0,0,0,32,76,3,103192.0,Kurt,Zouma,544.0,532.0,0.0,DEF,DEF,DEF,0.0,103192.0,7.0,6.0,158.0,17.0,29.0,28.0,95.0,23.0,6.0,0.0,0.0,0.0,33,0,0,0,12,0,0,0,6.0,14.0,0.0,0.0,464.0,5,87,0.0,2.303,0.0,0.0,2.636,0.0,11,20.0,-1,False
282276,Cauley Woodrow,FWD,Luton,17.8,1,3,118,0,0.85,2.17,1.32,10.92,11,1,406,0,0,0,0,0,2,33,2,91046.0,Cauley,Woodrow,340.0,0.0,0.0,FWD,0,FWD,0.0,91046.0,4.0,4.0,13.0,10.0,1.0,1.0,21.0,16.0,6.0,0.0,0.0,0.0,24,0,0,0,0,0,0,0,4.0,8.0,0.0,0.0,130.0,3,33,0.0,1.375,0.0,0.0,1.375,0.0,0,12.0,0,False
282775,Jorge Luiz Frello Filho,MID,Arsenal,52.6,2,1,182,4,1.77,1.87,0.1,8.42,11,0,913,0,0,0,0,0,10,44,1,85955.0,Jorge Luiz,Frello Filho,9.0,7.0,0.0,MID,MID,MID,0.0,85955.0,0.0,15.0,7.0,10.0,12.0,1.0,49.0,24.0,14.0,0.0,0.0,0.0,24,0,0,0,0,0,0,0,15.0,0.0,0.0,0.0,197.0,0,43,0.0,1.833,0.0,0.0,1.792,0.0,-1,15.0,-1,False
287894,Loris Karius,GK,Newcastle,0.0,0,0,17,0,0.0,0.0,0.0,2.4,4,0,90,0,0,0,0,4,1,1,0,104542.0,Loris,Karius,580.0,0.0,0.0,GK,0,GK,0.0,104542.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,1.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,20.0,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0,3.0,0,False
289137,Charlie Taylor,DEF,Burnley,27.6,1,1,347,2,1.66,1.91,0.25,43.78,46,1,2329,0,0,0,0,0,25,47,8,103914.0,Charlie,Taylor,178.0,475.0,0.0,DEF,DEF,DEF,0.0,103914.0,1.0,16.0,67.0,20.0,19.0,11.0,106.0,35.0,15.0,0.0,0.0,0.0,28,0,0,0,2,0,0,0,16.0,2.0,0.0,0.0,365.0,1,49,0.0,1.679,0.0,0.0,1.75,0.0,2,18.0,0,False
290410,Michael Keane,DEF,Everton,9.2,0,2,72,1,0.06,0.62,0.56,10.81,13,1,437,0,0,0,0,0,4,18,2,106611.0,Michael,Keane,257.0,228.0,295.0,DEF,DEF,DEF,4.5,106611.0,4.0,0.0,18.0,3.0,5.0,4.0,26.0,7.0,4.0,0.0,0.0,0.0,9,0,0,0,2,0,0,0,0.0,8.0,0.0,0.0,80.0,2,20,4.0,2.0,0.444,4.444,2.222,0.494,2,8.0,0,False
292313,Raúl Jiménez,FWD,Fulham,52.1,0,13,237,4,0.96,6.33,5.37,37.43,29,7,1390,0,0,0,1,0,18,72,3,102057.0,Raúl,Jiménez,558.0,252.0,337.0,FWD,FWD,FWD,6.5,102057.0,17.0,21.0,13.0,12.0,4.0,3.0,43.0,18.0,6.0,0.0,0.0,0.0,24,0,0,0,0,0,0,0,21.0,34.0,0.0,0.0,292.0,13,72,11.077,3.0,0.462,11.077,3.0,0.462,0,55.0,0,False
292462,Mohamed Salah,MID,Liverpool,214.2,12,24,621,8,7.47,28.36,20.89,32.22,30,18,2531,0,2,0,0,0,28,211,2,118748.0,Mohamed,Salah,308.0,328.0,381.0,MID,MID,MID,14.5,118748.0,56.0,26.0,1.0,11.0,2.0,1.0,84.0,17.0,6.0,0.0,0.0,5.0,32,0,0,0,0,0,0,0,26.0,112.0,0.0,-30.0,729.0,30,217,14.552,6.594,0.455,14.966,6.781,0.468,6,108.0,6,False
295062,John Egan,DEF,Sheffield Utd,-0.5,0,0,54,0,0.0,0.17,0.17,14.85,17,0,482,0,0,0,0,0,6,1,2,108416.0,John,Egan,480.0,0.0,0.0,DEF,0,DEF,0.0,108416.0,1.0,1.0,39.0,4.0,13.0,4.0,21.0,6.0,2.0,0.0,0.0,0.0,6,0,0,0,6,0,0,0,1.0,2.0,0.0,0.0,57.0,0,7,0.0,0.167,0.0,0.0,1.167,0.0,6,3.0,0,False
295067,Will Hughes,MID,Crystal Palace,57.3,2,2,252,8,1.7,2.01,0.31,30.83,38,0,1886,0,0,0,0,0,23,61,6,108413.0,Will,Hughes,229.0,203.0,270.0,MID,MID,MID,5.0,108413.0,3.0,30.0,20.0,33.0,22.0,14.0,121.0,61.0,28.0,0.0,0.0,0.0,30,0,0,0,16,0,0,0,30.0,6.0,0.0,0.0,288.0,2,77,12.2,2.033,0.407,15.4,2.567,0.513,16,36.0,0,False
