code,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,fotmob_id,25_cost
579075,Asher,Agbinone,,646,274,,MID,MID,,4.5
585472,Ryan,Oné,730,,,MID,,,1390003,
589114,Zack,Nelson,734,,,MID,,,1411552,
589507,Leon,Chiwome,836,539,657,FWD,FWD,FWD,1396741,4.5
590012,Caleb,Kporha,,666,265,,DEF,DEF,,4.0
591357,Ryan,Trevitt,118,602,134,MID,MID,MID,,4.5
592031,Yankuba,Minteh,,135,160,,MID,MID,1400227,6.0
593001,Enso,González,698,547,652,MID,MID,MID,1458595,4.5
596047,Chido,Obi-Martin,,776,467,,FWD,FWD,1557220,4.5
596777,Patrick,Dorgu,,766,441,,DEF,DEF,1526560,4.5
597320,Harry,Howell,,795,,,MID,,,
606745,Ayden,Heaven,,658,447,,DEF,DEF,1559639,4.0
606774,Remy,Rees-Dottin,,707,,,FWD,,,
606775,Ben,Winterburn,,687,96,,MID,MID,1697214,4.5
606798,Andrés,García,,731,42,,DEF,DEF,1430406,4.0
606921,Romain,Esse,,730,269,,MID,MID,1428401,5.0
607464,Michael,Kayode,,757,110,,DEF,DEF,1429912,4.5
609640,Mathis,Amougou,,771,,,MID,,,
609873,Harrison,Armstrong,,603,305,,MID,MID,,4.5
611011,Joseph,Johnson,682,,,DEF,,,1437880,
616222,Vitor,de Oliveira Nunes dos Reis,,733,412,,DEF,DEF,,5.0
617054,Deivid Washington,de Souza Eugênio,677,165,,FWD,FWD,,1458868,
619146,Olabade,Aluko,,796,,,DEF,,,
620408,Joachim,Kayi-Sanda,,719,,,DEF,,,
626464,Gustavo,Nunes Fernandes Gomes,,634,127,,MID,MID,1516030,5.0
628204,Yunus Emre,Konak,864,97,131,MID,MID,MID,,4.5
630664,Jake,Evans,,797,,,MID,,,
641221,Pedro,Cardoso de Lima,,561,640,,DEF,DEF,1610952,4.0
647671,Mateus,Mané,,784,,,FWD,,,
649208,Jeremy,Monga,,792,,,MID,,,
